Code	Info	Biome	Locality	Temp	Sex
APR 243		Amazon	APR	A	M
APR 244		Amazon	APR	A	M
APR 248		Amazon	APR	A	M
APR 285		Amazon	APR	A	M
APR 291		Amazon	APR	A	M
APR 293		Amazon	APR	A	M
APR 333		Amazon	APR	A	M
APR 370		Amazon	APR	A	M
APR 382		Amazon	APR	A	M
APR 418		Amazon	APR	A	M
APR 421		Amazon	APR	A	M
APR 426		Amazon	APR	A	M
APR 464		Amazon	APR	A	M
APR 506		Amazon	APR	A	M
APR 515		Amazon	APR	A	M
APR 606		Amazon	APR	A	M
APR 074		Amazon	APR	B	F
APR 068		Amazon	APR	B	F
APR 081		Amazon	APR	B	F
APR 100		Amazon	APR	B	F
APR 122		Amazon	APR	B	F
APR 172		Amazon	APR	B	F
APR 208		Amazon	APR	B	F
APR 253		Amazon	APR	B	F
APR 256		Amazon	APR	B	F
APR 259		Amazon	APR	B	F
APR 262		Amazon	APR	B	F
APR 295		Amazon	APR	B	F
APR 297		Amazon	APR	B	F
APR 353		Amazon	APR	B	F
APR 388		Amazon	APR	B	F
APR 392		Amazon	APR	B	F
APR 433		Amazon	APR	B	F
APR 474		Amazon	APR	B	F
APR 483		Amazon	APR	B	F
APR 531		Amazon	APR	B	F
APR 567		Amazon	APR	B	F
APR 569		Amazon	APR	B	F
APR 573		Amazon	APR	B	F
APR 657		Amazon	APR	B	F
APR 677		Amazon	APR	B	F
APR 069		Amazon	APR	B	M
APR 072		Amazon	APR	B	M
APR 080		Amazon	APR	B	M
APR 082		Amazon	APR	B	M
APR 116		Amazon	APR	B	M
APR 128		Amazon	APR	B	M
APR 159		Amazon	APR	B	M
APR 163		Amazon	APR	B	M
APR 209		Amazon	APR	B	M
APR 254		Amazon	APR	B	M
APR 261		Amazon	APR	B	M
APR 263		Amazon	APR	B	M
APR 308		Amazon	APR	B	M
APR 439		Amazon	APR	B	M
APR 475		Amazon	APR	B	M
APR 477		Amazon	APR	B	M
APR 478		Amazon	APR	B	M
APR 480		Amazon	APR	B	M
APR 523		Amazon	APR	B	M
APR 527		Amazon	APR	B	M
APR 571		Amazon	APR	B	M
APR 575		Amazon	APR	B	M
APR 702		Amazon	APR	B	M
APR 087		Amazon	APR	C	F
APR 130		Amazon	APR	C	F
APR 132		Amazon	APR	C	F
APR 175		Amazon	APR	C	F
APR 265		Amazon	APR	C	F
APR 315		Amazon	APR	C	F
APR 359		Amazon	APR	C	F
APR 363		Amazon	APR	C	F
APR 399		Amazon	APR	C	F
APR 447		Amazon	APR	C	F
APR 450		Amazon	APR	C	F
APR 457		Amazon	APR	C	F
APR 492		Amazon	APR	C	F
APR 501		Amazon	APR	C	F
APR 585		Amazon	APR	C	F
APR 591		Amazon	APR	C	F
APR 593		Amazon	APR	C	F
APR 624		Amazon	APR	C	F
APR 670		Amazon	APR	C	F
APR 709		Amazon	APR	C	F
APR 714		Amazon	APR	C	F
APR 097		Amazon	APR	C	M
APR 142		Amazon	APR	C	M
APR 143		Amazon	APR	C	M
APR 178		Amazon	APR	C	M
APR 186		Amazon	APR	C	M
APR 231		Amazon	APR	C	M
APR 266		Amazon	APR	C	M
APR 312		Amazon	APR	C	M
APR 400		Amazon	APR	C	M
APR 402		Amazon	APR	C	M
APR 407		Amazon	APR	C	M
APR 452		Amazon	APR	C	M
APR 496		Amazon	APR	C	M
APR 500		Amazon	APR	C	M
APR 534		Amazon	APR	C	M
APR 542		Amazon	APR	C	M
APR 544		Amazon	APR	C	M
APR 546		Amazon	APR	C	M
APR 589		Amazon	APR	C	M
APR 627		Amazon	APR	C	M
APR 631		Amazon	APR	C	M
APR 664		Amazon	APR	C	M
APR 712		Amazon	APR	C	M
RPV 103		Amazon	RPV	A	F
RPV 185		Amazon	RPV	A	F
RPV 191		Amazon	RPV	A	F
RPV 195		Amazon	RPV	A	F
RPV 280		Amazon	RPV	A	F
RPV 281		Amazon	RPV	A	F
RPV 366		Amazon	RPV	A	F
RPV 372		Amazon	RPV	A	F
RPV 374		Amazon	RPV	A	F
RPV 461		Amazon	RPV	A	F
RPV 462		Amazon	RPV	A	F
