Code	Info	Biome	Locality	Temp	Sex
TPN 136	Y	Cerrado	TPN	B	M
TPN 137	Y	Cerrado	TPN	B	M
TPN 138	Y	Cerrado	TPN	B	M
TPN 172	Y-RIGHT	Cerrado	TPN	B	M
TPN 173	Y	Cerrado	TPN	B	M
TPN 174	Y	Cerrado	TPN	B	M
TPN 176	Y	Cerrado	TPN	B	M
TPN 211	Y	Cerrado	TPN	B	M
TPN 217	Y	Cerrado	TPN	B	M
TPN 222	Y	Cerrado	TPN	B	M
TPN 096	Y	Cerrado	TPN	C	F
TPN 097	Y	Cerrado	TPN	C	F
TPN 099	Y	Cerrado	TPN	C	F
TPN 102	Y	Cerrado	TPN	C	F
TPN 107	Y	Cerrado	TPN	C	F
TPN 108	Y	Cerrado	TPN	C	F
TPN 147	Y-RIGHT	Cerrado	TPN	C	F
TPN 148	Y	Cerrado	TPN	C	F
TPN 183	Y	Cerrado	TPN	C	F
TPN 188	Y	Cerrado	TPN	C	F
TPN 227	Y	Cerrado	TPN	C	F
TPN 229	Y	Cerrado	TPN	C	F
TPN 230	Y	Cerrado	TPN	C	F
TPN 231	Y	Cerrado	TPN	C	F
TPN 236	Y	Cerrado	TPN	C	F
TPN 240	Y	Cerrado	TPN	C	F
TPN 051	Y	Cerrado	TPN	C	M
TPN 053	Y	Cerrado	TPN	C	M
TPN 059	Y	Cerrado	TPN	C	M
TPN 060	Y	Cerrado	TPN	C	M
TPN 100	Y	Cerrado	TPN	C	M
TPN 101	Y	Cerrado	TPN	C	M
TPN 103	Y	Cerrado	TPN	C	M
TPN 106	Y	Cerrado	TPN	C	M
TPN 146	Y	Cerrado	TPN	C	M
TPN 182	Y	Cerrado	TPN	C	M
TPN187	Y	Cerrado	TPN	C	M
TPN 191	Y	Cerrado	TPN	C	M
TPN 226	Y	Cerrado	TPN	C	M
TPN 232	Y	Cerrado	TPN	C	M
TPN 234	Y-RIGHT	Cerrado	TPN	C	M
TPN 235	Y	Cerrado	TPN	C	M
TPN 237	Y	Cerrado	TPN	C	M
TPN 238	Y	Cerrado	TPN	C	M
TPN 239	Y	Cerrado	TPN	C	M
SJU 014	Y	Mata Atlantica	SJU	A	F
SJU 022	Y	Mata Atlantica	SJU	A	F
SJU 060	Y	Mata Atlantica	SJU	A	F
SJU 062	Y	Mata Atlantica	SJU	A	F
SJU 104	Y	Mata Atlantica	SJU	A	F
SJU 111	Y	Mata Atlantica	SJU	A	F
SJU 150	Y	Mata Atlantica	SJU	A	F
SJU 152	Y	Mata Atlantica	SJU	A	F
SJU 206	Y	Mata Atlantica	SJU	A	F
SJU 250	Y	Mata Atlantica	SJU	A	F
SJU 252	Y	Mata Atlantica	SJU	A	F
SJU 289	Y	Mata Atlantica	SJU	A	F
SJU 291	Y	Mata Atlantica	SJU	A	F
SJU 321	Y	Mata Atlantica	SJU	A	F
SJU 325	Y	Mata Atlantica	SJU	A	F
SJU 376	Y	Mata Atlantica	SJU	A	F
SJU 422	Y-RIGHT	Mata Atlantica	SJU	A	F
SJU 423	Y	Mata Atlantica	SJU	A	F
SJU 461	Y	Mata Atlantica	SJU	A	F
SJU 465	Y	Mata Atlantica	SJU	A	F
SJU 26	Y	Mata Atlantica	SJU	A	M
SJU 68	Y	Mata Atlantica	SJU	A	M
SJU 105	Y	Mata Atlantica	SJU	A	M
SJU 154	Y	Mata Atlantica	SJU	A	M
SJU 196	Y	Mata Atlantica	SJU	A	M
SJU 201	Y	Mata Atlantica	SJU	A	M
SJU 204	Y	Mata Atlantica	SJU	A	M
SJU 207	Y	Mata Atlantica	SJU	A	M
SJU 240	Y	Mata Atlantica	SJU	A	M
SJU 245	Y	Mata Atlantica	SJU	A	M
SJU 246	Y	Mata Atlantica	SJU	A	M
SJU 319	Y	Mata Atlantica	SJU	A	M
SJU 320	Y	Mata Atlantica	SJU	A	M
SJU 364	Y	Mata Atlantica	SJU	A	M
SJU 366	Y	Mata Atlantica	SJU	A	M
SJU 370	Y	Mata Atlantica	SJU	A	M
SJU 372	Y	Mata Atlantica	SJU	A	M
SJU 411	Y	Mata Atlantica	SJU	A	M
SJU 412	Y	Mata Atlantica	SJU	A	M
SJU 419	Y	Mata Atlantica	SJU	A	M
SJU 34	Y	Mata Atlantica	SJU	B	F
SJU 40	Y	Mata Atlantica	SJU	B	F
SJU 75	Y	Mata Atlantica	SJU	B	F
SJU 80	Y	Mata Atlantica	SJU	B	F
SJU 120	Y	Mata Atlantica	SJU	B	F
SJU 123	Y	Mata Atlantica	SJU	B	F
SJU 124	Y	Mata Atlantica	SJU	B	F
SJU 131	Y	Mata Atlantica	SJU	B	F
SJU 217	Y	Mata Atlantica	SJU	B	F
SJU 222	Y	Mata Atlantica	SJU	B	F
SJU 223	Y	Mata Atlantica	SJU	B	F
SJU 265	Y	Mata Atlantica	SJU	B	F
SJU 295	Y	Mata Atlantica	SJU	B	F
SJU 379	Y	Mata Atlantica	SJU	B	F
SJU 385	Y	Mata Atlantica	SJU	B	F
SJU 390	Y	Mata Atlantica	SJU	B	F
SJU 426	Y	Mata Atlantica	SJU	B	F
SJU 431	Y	Mata Atlantica	SJU	B	F
SJU 434	Y	Mata Atlantica	SJU	B	F
SJU 472	Y	Mata Atlantica	SJU	B	F
SJU 37	y	Mata Atlantica	SJU	B	M
SJU 81	y	Mata Atlantica	SJU	B	M
SJU 86	y	Mata Atlantica	SJU	B	M
SJU 119	y	Mata Atlantica	SJU	B	M
SJU 127	y	Mata Atlantica	SJU	B	M
SJU 129	y	Mata Atlantica	SJU	B	M
SJU 130	y	Mata Atlantica	SJU	B	M
SJU 170	y	Mata Atlantica	SJU	B	M
SJU 218	y	Mata Atlantica	SJU	B	M
SJU 254	y	Mata Atlantica	SJU	B	M
SJU 257	y	Mata Atlantica	SJU	B	M
SJU 296	y	Mata Atlantica	SJU	B	M
SJU 300	y	Mata Atlantica	SJU	B	M
SJU 303	y	Mata Atlantica	SJU	B	M
SJU 341	y	Mata Atlantica	SJU	B	M
SJU 381	y	Mata Atlantica	SJU	B	M
SJU 389	y	Mata Atlantica	SJU	B	M
SJU 392	y	Mata Atlantica	SJU	B	M
SJU 473	y	Mata Atlantica	SJU	B	M
SJU 481	y	Mata Atlantica	SJU	B	M
SJU 135	Y	Mata Atlantica	SJU	C	F
SJU 136	Y	Mata Atlantica	SJU	C	F
SJU 184	Y	Mata Atlantica	SJU	C	F
SJU 185	Y	Mata Atlantica	SJU	C	F
SJU 225	Y	Mata Atlantica	SJU	C	F
SJU 227	Y	Mata Atlantica	SJU	C	F
SJU 235	Y	Mata Atlantica	SJU	C	F
SJU 269	Y	Mata Atlantica	SJU	C	F
SJU 271	Y	Mata Atlantica	SJU	C	F
SJU 279	Y	Mata Atlantica	SJU	C	F
SJU 305	Y	Mata Atlantica	SJU	C	F
SJU 309	Y	Mata Atlantica	SJU	C	F
SJU 310	Y	Mata Atlantica	SJU	C	F
SJU 314	Y	Mata Atlantica	SJU	C	F
SJU 315	Y	Mata Atlantica	SJU	C	F
SJU 439	Y	Mata Atlantica	SJU	C	F
SJU050	Y	Mata Atlantica	SJU	C	M
SJU051	Y	Mata Atlantica	SJU	C	M
SJU055	Y	Mata Atlantica	SJU	C	M
SJU137	Y	Mata Atlantica	SJU	C	M
SJU139	Y	Mata Atlantica	SJU	C	M
SJU189	Y	Mata Atlantica	SJU	C	M
SJU190	Y	Mata Atlantica	SJU	C	M
SJU229	Y	Mata Atlantica	SJU	C	M
SJU270	Y	Mata Atlantica	SJU	C	M
SJU304	Y	Mata Atlantica	SJU	C	M
SJU317	Y	Mata Atlantica	SJU	C	M
SJU395	Y	Mata Atlantica	SJU	C	M
SJU397	Y	Mata Atlantica	SJU	C	M
SJU440	Y	Mata Atlantica	SJU	C	M
SJU444	Y	Mata Atlantica	SJU	C	M
SJU485	Y	Mata Atlantica	SJU	C	M
