ID	Biome	State	Locality	Family	Temp_let	Sex
APR 641	Amazon	Amazonas	APR	44	A	F
APR 643	Amazon	Amazonas	APR	44	A	F
APR 657	Amazon	Amazonas	APR	44	B	F
APR 664	Amazon	Amazonas	APR	44	C	M
APR 670	Amazon	Amazonas	APR	44	C	F
APR 675	Amazon	Amazonas	APR	6	A	F
APR 677	Amazon	Amazonas	APR	6	A	F
APR 677	Amazon	Amazonas	APR	6	A	F
APR 678	Amazon	Amazonas	APR	6	A	F
APR 702	Amazon	Amazonas	APR	6	B	M
APR 709	Amazon	Amazonas	APR	6	C	F
APR 712	Amazon	Amazonas	APR	6	C	M
APR 714	Amazon	Amazonas	APR	6	C	F
ARS 023	Amazon	Amazonas	ARS	14	A	M
ARS 024	Amazon	Amazonas	ARS	14	A	F
ARS 029	Amazon	Amazonas	ARS	14	A	F
ARS 032	Amazon	Amazonas	ARS	14	A	M
ARS 036	Amazon	Amazonas	ARS	14	B	M
ARS 037	Amazon	Amazonas	ARS	14	B	F
ARS 038	Amazon	Amazonas	ARS	14	B	M
ARS 039	Amazon	Amazonas	ARS	14	B	F
ARS 040	Amazon	Amazonas	ARS	14	B	M
ARS 042	Amazon	Amazonas	ARS	14	B	M
ARS 045	Amazon	Amazonas	ARS	14	B	M
ARS 048	Amazon	Amazonas	ARS	14	B	M
ARS 056	Amazon	Amazonas	ARS	14	C	M
ARS 057	Amazon	Amazonas	ARS	14	C	F
ARS 059	Amazon	Amazonas	ARS	14	C	M
ARS 061	Amazon	Amazonas	ARS	14	C	M
ARS 074	Amazon	Amazonas	ARS	17	A	M
ARS 076	Amazon	Amazonas	ARS	17	A	F
ARS 078	Amazon	Amazonas	ARS	17	A	M
ARS 082	Amazon	Amazonas	ARS	17	B	M
ARS 089	Amazon	Amazonas	ARS	17	B	F
ARS 093	Amazon	Amazonas	ARS	17	B	F
ARS 100	Amazon	Amazonas	ARS	17	C	F
ARS 103	Amazon	Amazonas	ARS	17	C	M
ARS 104	Amazon	Amazonas	ARS	17	C	M
ARS 108	Amazon	Amazonas	ARS	17	C	F
ARS 113	Amazon	Amazonas	ARS	3	A	M
ARS 116	Amazon	Amazonas	ARS	3	A	F
ARS 118	Amazon	Amazonas	ARS	3	A	M
ARS 119	Amazon	Amazonas	ARS	3	A	F
ARS 120	Amazon	Amazonas	ARS	3	A	M
ARS 124	Amazon	Amazonas	ARS	3	A	F
ARS 128	Amazon	Amazonas	ARS	3	B	M
ARS 136	Amazon	Amazonas	ARS	3	B	M
ARS 139	Amazon	Amazonas	ARS	3	B	F
ARS 142	Amazon	Amazonas	ARS	3	C	F
ARS 147	Amazon	Amazonas	ARS	3	C	M
ARS 156	Amazon	Amazonas	ARS	16	A	F
ARS 163	Amazon	Amazonas	ARS	16	A	F
ARS 164	Amazon	Amazonas	ARS	16	A	M
ARS 165	Amazon	Amazonas	ARS	16	A	M
ARS 166	Amazon	Amazonas	ARS	16	A	F
ARS 174	Amazon	Amazonas	ARS	16	B	F
ARS 178	Amazon	Amazonas	ARS	16	B	M
ARS 180	Amazon	Amazonas	ARS	16	B	M
ARS 181	Amazon	Amazonas	ARS	16	B	M
ARS 182	Amazon	Amazonas	ARS	16	B	F
ARS 186	Amazon	Amazonas	ARS	16	C	M
ARS 188	Amazon	Amazonas	ARS	16	C	F
ARS 196	Amazon	Amazonas	ARS	16	C	F
ARS 246	Amazon	Amazonas	ARS	4	A	F
ARS 247	Amazon	Amazonas	ARS	4	A	M
ARS 251	Amazon	Amazonas	ARS	4	A	M
ARS 254	Amazon	Amazonas	ARS	4	A	F
ARS 255	Amazon	Amazonas	ARS	4	A	F
ARS 259	Amazon	Amazonas	ARS	4	A	M
ARS 261	Amazon	Amazonas	ARS	4	B	M
ARS 264	Amazon	Amazonas	ARS	4	B	F
ARS 265	Amazon	Amazonas	ARS	4	B	F
ARS 268	Amazon	Amazonas	ARS	4	B	M
ARS 269	Amazon	Amazonas	ARS	4	B	M
ARS 272	Amazon	Amazonas	ARS	4	B	F
ARS 276	Amazon	Amazonas	ARS	4	C	F
ARS 278	Amazon	Amazonas	ARS	4	C	M
ARS 282	Amazon	Amazonas	ARS	4	C	F
ARS 287	Amazon	Amazonas	ARS	4	C	M
ARS 294	Amazon	Amazonas	ARS	1	A	M
ARS 300	Amazon	Amazonas	ARS	1	A	M
ARS 303	Amazon	Amazonas	ARS	1	A	F
ARS 306	Amazon	Amazonas	ARS	1	B	F
ARS 313	Amazon	Amazonas	ARS	1	B	M
ARS 322	Amazon	Amazonas	ARS	1	C	M
ARS 325	Amazon	Amazonas	ARS	1	C	F
ARS 326	Amazon	Amazonas	ARS	1	C	M
ARS 332	Amazon	Amazonas	ARS	1	C	M
ARS 335	Amazon	Amazonas	ARS	1	C	M
ARS 343	Amazon	Amazonas	ARS	9	A	F
ARS 351	Amazon	Amazonas	ARS	9	B	M
ARS 353	Amazon	Amazonas	ARS	9	B	F
ARS 356	Amazon	Amazonas	ARS	9	B	M
ARS 362	Amazon	Amazonas	ARS	9	B	F
ARS 364	Amazon	Amazonas	ARS	9	B	M
ARS 369	Amazon	Amazonas	ARS	9	C	F
ARS 371	Amazon	Amazonas	ARS	9	C	M
ARS 372	Amazon	Amazonas	ARS	9	C	F
ARS 373	Amazon	Amazonas	ARS	9	C	F
ARS 378	Amazon	Amazonas	ARS	9	C	F
ARS 379	Amazon	Amazonas	ARS	9	C	M
ARS 384	Amazon	Amazonas	ARS	6	A	M
ARS 390	Amazon	Amazonas	ARS	6	A	M
ARS 391	Amazon	Amazonas	ARS	6	A	F
ARS 393	Amazon	Amazonas	ARS	6	A	F
ARS 400	Amazon	Amazonas	ARS	6	B	M
ARS 404	Amazon	Amazonas	ARS	6	B	F
ARS 413	Amazon	Amazonas	ARS	6	C	M
ARS 416	Amazon	Amazonas	ARS	6	C	M
ARS 417	Amazon	Amazonas	ARS	6	C	F
ARS 421	Amazon	Amazonas	ARS	6	C	M
ARS 422	Amazon	Amazonas	ARS	6	C	M
ARS 434	Amazon	Amazonas	ARS	13	A	M
ARS 436	Amazon	Amazonas	ARS	13	A	M
ARS 438	Amazon	Amazonas	ARS	13	A	F
ARS 449	Amazon	Amazonas	ARS	13	B	F
ARS 454	Amazon	Amazonas	ARS	13	B	F
ARS 456	Amazon	Amazonas	ARS	13	C	M
ARS 459	Amazon	Amazonas	ARS	13	C	F
ARS 462	Amazon	Amazonas	ARS	13	C	F
ARS 470	Amazon	Amazonas	ARS	13	C	F
ARS 516	Amazon	Amazonas	ARS	8	A	M
ARS 521	Amazon	Amazonas	ARS	8	A	M
ARS 523	Amazon	Amazonas	ARS	8	A	F
ARS 524	Amazon	Amazonas	ARS	8	A	F
ARS 525	Amazon	Amazonas	ARS	8	A	F
ARS 531	Amazon	Amazonas	ARS	8	B	F
ARS 533	Amazon	Amazonas	ARS	8	B	F
ARS 537	Amazon	Amazonas	ARS	8	B	F
ARS 545	Amazon	Amazonas	ARS	8	B	F
ARS 556	Amazon	Amazonas	ARS	8	C	F
ARS 559	Amazon	Amazonas	ARS	8	C	F
ARS 560	Amazon	Amazonas	ARS	8	C	F
RMO 056	Amazon	Rondonia	RMO	26	A	M
RMO 059	Amazon	Rondonia	RMO	26	A	F
RMO 062	Amazon	Rondonia	RMO	26	B	F
RMO 063	Amazon	Rondonia	RMO	26	B	F
RMO 071	Amazon	Rondonia	RMO	26	B	M
RMO 080	Amazon	Rondonia	RMO	26	C	M
RMO 084	Amazon	Rondonia	RMO	26	C	F
RMO 085	Amazon	Rondonia	RMO	26	C	M
RMO 093	Amazon	Rondonia	RMO	33	A	M
RMO 098	Amazon	Rondonia	RMO	33	A	F
RMO 099	Amazon	Rondonia	RMO	33	A	F
RMO 101	Amazon	Rondonia	RMO	33	A	M
RMO 106	Amazon	Rondonia	RMO	33	B	M
RMO 114	Amazon	Rondonia	RMO	33	B	M
RMO 118	Amazon	Rondonia	RMO	33	B	F
RMO 122	Amazon	Rondonia	RMO	33	C	F
RMO 148	Amazon	Rondonia	RMO	39	A	F
RMO 171	Amazon	Rondonia	RMO	39	C	F
RMO 178	Amazon	Rondonia	RMO	39	C	F
RMO 181	Amazon	Rondonia	RMO	41	A	F
RMO 187	Amazon	Rondonia	RMO	41	A	F
RMO 192	Amazon	Rondonia	RMO	41	A	M
RMO 194	Amazon	Rondonia	RMO	41	A	M
RMO 197	Amazon	Rondonia	RMO	41	B	M
RMO 198	Amazon	Rondonia	RMO	41	B	M
RMO 199	Amazon	Rondonia	RMO	41	B	M
RMO 205	Amazon	Rondonia	RMO	41	B	F
RMO 211	Amazon	Rondonia	RMO	41	C	M
RMO 216	Amazon	Rondonia	RMO	41	C	M
RMO 217	Amazon	Rondonia	RMO	41	C	F
RMO 219	Amazon	Rondonia	RMO	41	C	M
RMO 221	Amazon	Rondonia	RMO	41	C	M
RMO 226	Amazon	Rondonia	RMO	6	A	M
RMO 227	Amazon	Rondonia	RMO	6	A	F
RMO 231	Amazon	Rondonia	RMO	6	A	F
RMO 233	Amazon	Rondonia	RMO	6	A	M
RMO 241	Amazon	Rondonia	RMO	6	B	F
RMO 247	Amazon	Rondonia	RMO	6	B	F
RMO 258	Amazon	Rondonia	RMO	6	C	F
RMO 266	Amazon	Rondonia	RMO	6	C	F
RMO 273	Amazon	Rondonia	RMO	18	A	M
RMO 284	Amazon	Rondonia	RMO	18	A	F
RMO 286	Amazon	Rondonia	RMO	18	B	M
RMO 288	Amazon	Rondonia	RMO	18	B	F
RMO 308	Amazon	Rondonia	RMO	18	C	F
RMO 311	Amazon	Rondonia	RMO	18	C	M
RMO 312	Amazon	Rondonia	RMO	18	C	M
RMO 316	Amazon	Rondonia	RMO	24	A	M
RMO 322	Amazon	Rondonia	RMO	24	A	F
RMO 324	Amazon	Rondonia	RMO	24	A	F
RMO 327	Amazon	Rondonia	RMO	24	A	M
RMO 328	Amazon	Rondonia	RMO	24	A	F
RMO 331	Amazon	Rondonia	RMO	24	B	M
RMO 333	Amazon	Rondonia	RMO	24	B	M
RMO 335	Amazon	Rondonia	RMO	24	B	M
RMO 336	Amazon	Rondonia	RMO	24	B	F
RMO 338	Amazon	Rondonia	RMO	24	B	M
RMO 341	Amazon	Rondonia	RMO	24	B	M
RMO 344	Amazon	Rondonia	RMO	24	B	F
RMO 345	Amazon	Rondonia	RMO	24	B	M
RMO 348	Amazon	Rondonia	RMO	24	C	F
RMO 364	Amazon	Rondonia	RMO	27	A	M
RMO 368	Amazon	Rondonia	RMO	27	A	M
RMO 369	Amazon	Rondonia	RMO	27	A	F
RMO 391	Amazon	Rondonia	RMO	27	C	F
RMO 396	Amazon	Rondonia	RMO	27	C	F
RMO 403	Amazon	Rondonia	RMO	27	C	M
RMO 404	Amazon	Rondonia	RMO	27	C	M
RMO 411	Amazon	Rondonia	RMO	28	A	M
RMO 413	Amazon	Rondonia	RMO	28	A	M
RMO 414	Amazon	Rondonia	RMO	28	A	M
RMO 417	Amazon	Rondonia	RMO	28	A	F
RMO 423	Amazon	Rondonia	RMO	28	B	M
RMO 432	Amazon	Rondonia	RMO	28	B	F
RMO 442	Amazon	Rondonia	RMO	28	C	M
RMO 449	Amazon	Rondonia	RMO	28	C	F
RMO 458	Amazon	Rondonia	RMO	30	A	M
RMO 459	Amazon	Rondonia	RMO	30	A	F
RMO 472	Amazon	Rondonia	RMO	30	B	M
RMO 475	Amazon	Rondonia	RMO	30	B	M
RMO 476	Amazon	Rondonia	RMO	30	B	M
RMO 491	Amazon	Rondonia	RMO	30	C	M
RMO 499	Amazon	Rondonia	RMO	36	A	F
RMO 501	Amazon	Rondonia	RMO	36	A	M
