ID	Latitude	Wing.length..mm.
ARS 369	-2.864	2.537
ARS 371	-2.864	2.519
ARS 372	-2.864	2.443
ARS 373	-2.864	2.483
ARS 378	-2.864	2.321
ARS 379	-2.864	2.396
ARS 384	-2.864	2.725
ARS 390	-2.864	2.896
ARS 391	-2.864	2.725
ARS 393	-2.864	2.599
ARS 400	-2.864	2.681
ARS 404	-2.864	2.559
ARS 413	-2.864	2.566
ARS 416	-2.864	2.483
ARS 417	-2.864	2.523
ARS 421	-2.864	2.592
ARS 422	-2.864	2.576
ARS 434	-2.864	2.747
ARS 436	-2.864	2.76
ARS 438	-2.864	2.63
ARS 449	-2.864	2.663
ARS 454	-2.864	2.638
ARS 456	-2.864	2.397
ARS 459	-2.864	2.614
ARS 462	-2.864	2.269
ARS 470	-2.864	2.4
ARS 516	-2.864	2.709
ARS 521	-2.864	2.744
ARS 523	-2.864	2.703
ARS 524	-2.864	2.653
ARS 525	-2.864	2.892
ARS 531	-2.864	2.64
ARS 533	-2.864	2.746
ARS 537	-2.864	2.593
ARS 545	-2.864	2.708
ARS 556	-2.864	2.459
ARS 559	-2.864	2.57
ARS 560	-2.864	2.346
RMO 056	-9.223	2.732
RMO 059	-9.223	2.965
RMO 062	-9.223	2.656
RMO 063	-9.223	3.011
RMO 071	-9.223	2.683
RMO 080	-9.223	2.486
RMO 084	-9.223	2.751
RMO 085	-9.223	2.612
RMO 093	-9.223	2.834
RMO 098	-9.223	2.781
RMO 099	-9.223	2.85
RMO 101	-9.223	2.709
RMO 106	-9.223	2.708
RMO 114	-9.223	2.795
RMO 118	-9.223	2.496
RMO 122	-9.223	2.376
RMO 148	-9.223	2.624
RMO 171	-9.223	2.548
RMO 178	-9.223	2.392
RMO 181	-9.223	2.881
RMO 187	-9.223	2.896
RMO 192	-9.223	2.703
RMO 194	-9.223	2.62
RMO 197	-9.223	2.566605836
RMO 198	-9.223	2.773966318
RMO 199	-9.223	2.734925705
RMO 205	-9.223	2.623553374
RMO 211	-9.223	2.701253257
RMO 216	-9.223	2.46947039
RMO 217	-9.223	2.557645856
RMO 219	-9.223	2.747174379
RMO 221	-9.223	2.512826396
RMO 226	-9.223	2.969844075
RMO 227	-9.223	2.823860601
RMO 231	-9.223	2.775397177
RMO 233	-9.223	2.800080311
RMO 241	-9.223	2.721223355
RMO 247	-9.223	2.684588149
RMO 258	-9.223	2.61634041
RMO 266	-9.223	2.454920607
RMO 273	-9.223	2.955
RMO 284	-9.223	2.83
RMO 286	-9.223	2.753
RMO 288	-9.223	2.74
RMO 308	-9.223	2.528
RMO 311	-9.223	2.504
RMO 312	-9.223	2.497
RMO 316	-9.223	2.755
RMO 322	-9.223	2.916
RMO 324	-9.223	2.972
RMO 327	-9.223	2.871
RMO 328	-9.223	2.866
RMO 331	-9.223	2.75
RMO 333	-9.223	2.747
