ID,Biome,Latitude,Locality ,Length.mm,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13
APR 001,Amazon,-3.028,APR,2.75,1.385147611,2.293334016,3.959431379,2.146325426,4.028035388,2.218196292,3.178652419,2.159392856,4.060703963,2.312935162,4.041102818,2.394606601,3.949630806,2.47627804,3.315860437,2.424008319,3.773220497,2.57101691,3.492270746,2.672289495,2.378272313,2.407674031,3.074112976,2.744160361,2.646154634,2.760494649
APR 002,Amazon,-3.028,APR,2.86,1.156467581,1.943780256,3.877759939,1.862108817,3.933296518,1.940513398,3.080646691,1.826173383,3.956164521,2.03198541,3.936563376,2.116923707,3.835290791,2.192061432,3.155784416,2.11365685,3.642546194,2.293334016,3.315860437,2.384806028,2.169193429,2.048319698,2.881368379,2.443609465,2.459943753,2.466477468
APR 003,Amazon,-3.028,APR,3.17,1.091130429,1.512555056,4.086838824,1.398215041,4.165243406,1.499487626,3.214587852,1.365546466,4.194645124,1.594226496,4.165243406,1.68243165,4.067237679,1.760836232,3.377930731,1.679164793,3.884293654,1.842507671,3.564141612,1.937246541,2.227996865,1.623628214,3.054511831,2.009117407,2.567750052,2.03198541
APR 004,Amazon,-3.028,APR,3.09,1.247939593,1.702032796,4.191378266,1.623628214,4.246914845,1.688965365,3.312593579,1.590959638,4.286117136,1.793504808,4.256715418,1.878443105,4.142375403,1.953580829,3.4726696,1.891510535,3.949630806,2.048319698,3.619678191,2.13979171,2.293334016,1.806572238,3.13618327,2.211662577,2.629820346,2.22146315
APR 005,Amazon,-3.028,APR,3.05,1.202203587,1.541956775,4.096639397,1.535423059,4.171777121,1.633428787,3.175385561,1.486420196,4.204445697,1.741235086,4.178310836,1.822906526,4.080305109,1.894777392,3.332194725,1.809839096,3.851625079,1.996049977,3.495537603,2.090788847,2.283533444,1.685698508,3.02837697,2.13979171,2.508946616,2.129991138
APR 006,Amazon,-3.028,APR,3.09,1.257740166,1.751035659,4.178310836,1.581159065,4.250181703,1.659563647,3.289725576,1.568091635,4.295917709,1.767369947,4.279583421,1.858841959,4.178310836,1.940513398,3.4726696,1.875176247,3.969231951,2.041785983,3.632745621,2.156125998,2.397873459,1.832707099,3.129649555,2.244331153,2.636354062,2.241064295
APR 007,Amazon,-3.028,APR,3.23,0.744843527,1.535423059,3.851625079,1.394948184,3.900627942,1.476619623,2.949972389,1.355745893,3.93002966,1.57462535,3.9038948,1.659563647,3.802622215,1.744501944,3.119848982,1.705299653,3.596810188,1.862108817,3.299526149,1.960114544,1.940513398,1.620361356,2.77356208,2.041785983,2.270466013,2.058120271
APR 008,Amazon,-3.028,APR,3.02,0.627236654,1.914378538,3.557607897,1.806572238,3.583742758,1.868642532,2.682090068,1.747768802,3.606610761,1.956847686,3.600077046,2.041785983,3.492270746,2.123457423,2.861767234,2.058120271,3.299526149,2.22146315,2.989174679,2.335803165,1.754302517,2.028718553,2.495879186,2.420741462,1.99278312,2.430542034
APR 009,Amazon,-3.028,APR,2.83,0.859183542,1.492953911,3.541273609,1.398215041,3.606610761,1.479886481,2.721292358,1.368813323,3.636012479,1.577892208,3.603343903,1.65629679,3.508605034,1.737968229,2.822564943,1.662830505,3.315860437,1.842507671,2.995708395,1.940513398,1.878443105,1.613827641,2.548148907,1.989516262,2.067920844,1.996049977
APR 011,Amazon,-3.028,APR,3.3015,0.67297266,1.470085908,3.769953639,1.163001296,3.867959367,1.257740166,2.825831801,1.195669872,3.9038948,1.336144747,3.874493082,1.430883617,3.734018206,1.545223632,3.01530954,1.499487626,3.551074182,1.662830505,3.221121567,1.77717052,1.849041386,1.528889344,2.747427219,1.894777392,2.211662577,1.943780256
