Code,Latitude,Locality,Family,Temp Num,Well,Sex,Sex num f0,Wing.length..mm.,CS 13 from MOG unscaled,CS scaled 13
APR 450,-3.028,APR,18,28,2,F,0,2.4563,817.52,2.670721403
APR 452,-3.028,APR,18,28,2,M,1,2.648,866.82,2.831777482
APR 457,-3.028,APR,18,28,3,F,0,2.433,811.25,2.650238206
APR 464,-3.028,APR,33,20,2,M,1,2.803,905.02,2.956571441
APR 472,-3.028,APR,33,20,3,F,0,2.72,901.9,2.946378845
APR 474,-3.028,APR,33,24,1,F,0,2.566,844.17,2.757783157
APR 475,-3.028,APR,33,24,1,M,1,2.535,824.51,2.693556738
APR 477,-3.028,APR,33,24,1,M,1,2.604,844.43,2.75863254
APR 478,-3.028,APR,33,24,1,M,1,2.477,814.91,2.662194905
APR 480,-3.028,APR,33,24,2,M,1,2.601,848.77,2.772810702
APR 483,-3.028,APR,33,24,2,F,0,2.68,880.65,2.876958122
APR 492,-3.028,APR,33,28,1,F,0,2.55,842.22,2.751412785
APR 496,-3.028,APR,33,28,2,M,1,2.458,797.75,2.606135629
APR 500,-3.028,APR,33,28,3,M,1,2.384,785.21,2.565169235
APR 501,-3.028,APR,33,28,3,F,0,2.402,793.16,2.591140753
APR 504,-3.028,APR,36,20,1,F,0,2.792,924.76,3.021059209
APR 506,-3.028,APR,36,20,1,M,1,2.719,885.71,2.893488421
APR 509,-3.028,APR,36,20,2,F,0,2.926,967.78,3.161599422
APR 515,-3.028,APR,36,20,3,M,1,2.845,927.61,3.030369753
APR 523,-3.028,APR,36,24,1,M,1,2.526,851.98,2.783297315
APR 527,-3.028,APR,36,24,2,M,1,2.771,907.6,2.964999933
APR 531,-3.028,APR,36,24,3,F,0,2.51,834.82,2.727238039
APR 534,-3.028,APR,36,28,1,M,1,2.592,846.07,2.763990187
APR 542,-3.028,APR,36,28,2,M,1,2.801,911.85,2.978884078
APR 544,-3.028,APR,36,28,3,M,1,2.646,868.81,2.838278528
APR 546,-3.028,APR,36,28,3,M,1,2.46,795.82,2.599830594
APR 562,-3.028,APR,38,20,3,F,0,2.705,898.65,2.935761558
APR 567,-3.028,APR,38,24,1,F,0,2.459,815.34,2.663599654
APR 569,-3.028,APR,38,24,2,F,0,2.397,791.33,2.585162403
APR 571,-3.028,APR,38,24,2,M,1,2.572,837.29,2.735307177
APR 573,-3.028,APR,38,24,2,F,0,2.723,898.42,2.935010181
APR 575,-3.028,APR,38,24,3,M,1,2.529,821.61,2.684082851
APR 585,-3.028,APR,38,28,2,F,0,2.626,867.88,2.835240351
APR 589,-3.028,APR,38,28,3,M,1,2.514,821.45,2.683560153
APR 591,-3.028,APR,38,28,3,F,0,2.426,806.29,2.634034593
APR 593,-3.028,APR,38,28,3,F,0,2.554,847.88,2.769903199
APR 605,-3.028,APR,40,20,3,F,0,2.685,884.16,2.888424792
APR 606,-3.028,APR,40,20,3,M,1,2.827,923.1,3.015636226
APR 624,-3.028,APR,40,28,1,F,0,2.327,769.64,2.514304263
APR 627,-3.028,APR,40,28,1,M,1,2.673,875.78,2.861048525
APR 631,-3.028,APR,40,28,2,M,1,2.506,823.43,2.690028531
APR 639,-3.028,APR,44,20,1,F,0,2.766,925.36,3.023019324
APR 641,-3.028,APR,44,20,1,F,0,2.646,883.41,2.885974649
APR 643,-3.028,APR,44,20,1,F,0,2.979,994.33,3.248334491
APR 657,-3.028,APR,44,24,1,F,0,2.66,884.93,2.890940272
APR 664,-3.028,APR,44,28,1,M,1,2.643,868.19,2.836253076
APR 670,-3.028,APR,44,28,2,F,0,2.547,840.14,2.744617721
APR 675,-3.028,APR,6,20,1,F,0,2.759,909.09,2.969867551
APR 677,-3.028,APR,6,20,1,F,0,2.82,932.31,3.045723984
APR 677,-3.028,APR,6,20,1,F,0,2.82,928.18,3.032231862
APR 678,-3.028,APR,6,20,1,F,0,2.898,965.46,3.154020313
APR 702,-3.028,APR,6,24,3,M,1,2.831,916.38,2.993682943
APR 709,-3.028,APR,6,28,2,F,0,2.319,767.44,2.507117176
APR 712,-3.028,APR,6,28,2,M,1,2.766,898.9,2.936578272
APR 714,-3.028,APR,6,28,3,F,0,2.443,816.04,2.665886454
ARS 023,-2.864,ARS,14,20,1,M,1,2.758,886.95,2.897539324
ARS 024,-2.864,ARS,14,20,1,F,0,2.671,878.39,2.869575024
ARS 029,-2.864,ARS,14,20,2,F,0,2.685,867.48,2.833933608
ARS 032,-2.864,ARS,14,20,3,M,1,2.788,892.19,2.914657658
ARS 036,-2.864,ARS,14,24,1,M,1,2.648,855.47,2.794698648
ARS 037,-2.864,ARS,14,24,1,F,0,2.639,874.79,2.857814336
ARS 038,-2.864,ARS,14,24,1,M,1,2.694,857.64,2.801787729
ARS 039,-2.864,ARS,14,24,1,F,0,2.713,884.18,2.888490129
ARS 040,-2.864,ARS,14,24,1,M,1,2.771,894.95,2.923674185
ARS 042,-2.864,ARS,14,24,2,M,1,2.526,809.07,2.643116457
ARS 045,-2.864,ARS,14,24,2,M,1,2.705,866.07,2.829327338
ARS 048,-2.864,ARS,14,24,3,M,1,2.665,856.9,2.799370254
ARS 056,-2.864,ARS,14,28,2,M,1,2.536,818.05,2.672452838
ARS 057,-2.864,ARS,14,28,2,F,0,2.356,768.54,2.510710719
ARS 059,-2.864,ARS,14,28,2,M,1,2.699,863.39,2.82057216
ARS 061,-2.864,ARS,14,28,3,M,1,2.533,820.39,2.680097284
ARS 074,-2.864,ARS,17,20,2,M,1,2.651,836.31,2.732105657
ARS 076,-2.864,ARS,17,20,3,F,0,2.465,809.65,2.645011234
ARS 078,-2.864,ARS,17,20,3,M,1,2.82,890.46,2.909005995
ARS 082,-2.864,ARS,17,24,1,M,1,2.549,820.72,2.681175347
ARS 089,-2.864,ARS,17,24,2,F,0,2.741,904.27,2.954121298
ARS 093,-2.864,ARS,17,24,3,F,0,2.389,784.38,2.562457743
ARS 100,-2.864,ARS,17,28,1,F,0,2.771,900.16,2.940694513
ARS 103,-2.864,ARS,17,28,2,M,1,2.588,832.14,2.718482861
ARS 104,-2.864,ARS,17,28,2,M,1,2.861,916.42,2.993813617
ARS 108,-2.864,ARS,17,28,3,F,0,2.449,800.78,2.616034207
ARS 113,-2.864,ARS,3,20,1,M,1,2.93,939.03,3.067677267
ARS 116,-2.864,ARS,3,20,2,F,0,2.755,896.13,2.927529077
ARS 118,-2.864,ARS,3,20,2,M,1,3.004,959.4,3.134223156
ARS 119,-2.864,ARS,3,20,2,F,0,2.934,962.26,3.143566368
ARS 120,-2.864,ARS,3,20,2,M,1,2.638,849.63,2.7756202
ARS 124,-2.864,ARS,3,20,3,F,0,2.765,906.24,2.960557007
ARS 128,-2.864,ARS,3,24,1,M,1,2.636,853.07,2.78685819
ARS 136,-2.864,ARS,3,24,3,M,1,2.694,871.05,2.845596289
ARS 139,-2.864,ARS,3,24,3,F,0,2.781,926,3.025110113
ARS 142,-2.864,ARS,3,28,1,F,0,2.461,813.81,2.658601362
ARS 147,-2.864,ARS,3,28,2,M,1,2.468,795.21,2.597837811
ARS 156,-2.864,ARS,16,20,1,F,0,2.609,871.52,2.847131712
ARS 163,-2.864,ARS,16,20,2,F,0,2.843,932.76,3.04719407
ARS 164,-2.864,ARS,16,20,2,M,1,2.944,958.31,3.130662281
ARS 165,-2.864,ARS,16,20,2,M,1,2.917,944.01,3.083946218
ARS 166,-2.864,ARS,16,20,3,F,0,2.704,902.33,2.947783594
