Code,Latitude,Family,Temp Num,Well,Sex num f0,Wing.length..mm.,CS 13 from MOG unscaled,CS scaled 13,CS 18 from MOG,CS 18 scaled,,
APR 392,-3.028,19,24,2,0,2.488,823.43,2.690028531,714.14,2.332993667,,
APR 399,-3.028,19,28,1,0,2.45,815.1,2.662815608,713.71,2.331588919,,
APR 400,-3.028,19,28,1,1,2.447,803.85,2.62606346,675.36,2.206304931,,
APR 402,-3.028,19,28,1,1,2.461,805.6,2.631780461,698.61,2.282259369,,
APR 407,-3.028,19,28,2,1,2.418,794.75,2.596335056,663.51,2.167592668,,
APR 415,-3.028,18,20,1,0,2.682,886.89,2.897343313,775.16,2.532337316,,
APR 418,-3.028,18,20,1,1,2.892,938.62,3.066337855,781.49,2.553016525,,
APR 419,-3.028,18,20,2,0,2.65,889.52,2.905935148,768.15,2.509436645,,
APR 421,-3.028,18,20,2,1,2.706,880.46,2.876337419,722.56,2.360500608,,
APR 426,-3.028,18,20,3,1,2.586,856.16,2.79695278,714.35,2.333679707,,
APR 433,-3.028,18,24,1,0,2.659,875.84,2.861244537,774.1,2.528874447,,
APR 439,-3.028,18,24,3,1,2.602,846.25,2.764578221,700.1,2.287126987,,
APR 447,-3.028,18,28,1,0,2.415,800.64,2.615576847,700.69,2.289054433,,
APR 450,-3.028,18,28,2,0,2.4563,817.52,2.670721403,716.28,2.339984742,,
APR 452,-3.028,18,28,2,1,2.648,866.82,2.831777482,725.59,2.370399186,,
APR 457,-3.028,18,28,3,0,2.433,811.25,2.650238206,713.22,2.329988158,,
APR 464,-3.028,33,20,2,1,2.803,905.02,2.956571441,759.46,2.481047652,,
APR 472,-3.028,33,20,3,0,2.72,901.9,2.946378845,788.57,2.576145876,,
APR 474,-3.028,33,24,1,0,2.566,844.17,2.757783157,735.38,2.402381722,,
APR 475,-3.028,33,24,1,1,2.535,824.51,2.693556738,690.89,2.257039229,,
APR 477,-3.028,33,24,1,1,2.604,844.43,2.75863254,703.75,2.299051017,,
APR 478,-3.028,33,24,1,1,2.477,814.91,2.662194905,673.6,2.200555261,,
APR 480,-3.028,33,24,2,1,2.601,848.77,2.772810702,705.81,2.305780744,,
APR 483,-3.028,33,24,2,0,2.68,880.65,2.876958122,776.95,2.538184991,,
APR 492,-3.028,33,28,1,0,2.55,842.22,2.751412785,734.51,2.399539556,,
APR 496,-3.028,33,28,2,1,2.458,797.75,2.606135629,660.73,2.158510804,,
APR 500,-3.028,33,28,3,1,2.384,785.21,2.565169235,659.34,2.153969872,,
APR 501,-3.028,33,28,3,0,2.402,793.16,2.591140753,687.53,2.246062587,,
APR 504,-3.028,36,20,1,0,2.792,924.76,3.021059209,805.24,2.630604392,,
APR 506,-3.028,36,20,1,1,2.719,885.71,2.893488421,716,2.339070022,,
APR 509,-3.028,36,20,2,0,2.926,967.78,3.161599422,841.48,2.748995311,,
APR 515,-3.028,36,20,3,1,2.845,927.61,3.030369753,769.41,2.513552885,,
APR 523,-3.028,36,24,1,1,2.526,851.98,2.783297315,749.17,2.447431688,,
APR 527,-3.028,36,24,2,1,2.771,907.6,2.964999933,746.99,2.440309939,,
