Id	Biome	State	Locality	Family	Temp_let	Sex	Centroid Size	Log Centroid Size
APR 068	Amazon	Amazonas	APR	2	A	F	2.521506828091014	0.9248566704790288
APR 069	Amazon	Amazonas	APR	2	B	M	2.3259376110250347	0.8441232313055473
APR 072	Amazon	Amazonas	APR	2	B	M	2.350370579484177	0.8545730091212929
APR 074	Amazon	Amazonas	APR	2	B	F	2.491215788981508	0.9127708599795308
APR 080	Amazon	Amazonas	APR	2	B	M	2.1784536249014566	0.778615278720341
APR 081	Amazon	Amazonas	APR	2	B	F	2.335182287220494	0.8480899554058825
APR 082	Amazon	Amazonas	APR	2	B	M	2.359840560716504	0.8585940577368749
APR 087	Amazon	Amazonas	APR	2	C	F	2.515035888415245	0.922287073197503
APR 097	Amazon	Amazonas	APR	2	C	M	2.4969267249358054	0.9150606656270904
APR 100	Amazon	Amazonas	APR	3	A	F	2.614429255450936	0.9610458157413998
APR 102	Amazon	Amazonas	APR	3	A	F	2.5573954349831403	0.9389893323707132
APR 105	Amazon	Amazonas	APR	3	A	M	2.3657570248137456	0.861098065783069
APR 106	Amazon	Amazonas	APR	3	A	M	2.2847904270313544	0.8262743033046284
APR 112	Amazon	Amazonas	APR	3	A	M	2.454037714225392	0.8977347146406309
APR 116	Amazon	Amazonas	APR	3	B	M	2.2317405647127893	0.8027818033156425
APR 122	Amazon	Amazonas	APR	3	B	F	2.504038824434711	0.9179049580835903
APR 128	Amazon	Amazonas	APR	3	B	M	2.4196089060204784	0.8836059180259932
APR 130	Amazon	Amazonas	APR	3	C	F	2.422592485356555	0.884838241703801
APR 132	Amazon	Amazonas	APR	3	C	F	2.465655853499718	0.9024578384337709
APR 142	Amazon	Amazonas	APR	3	C	M	2.337238456989968	0.8489700858627778
APR 143	Amazon	Amazonas	APR	3	C	M	2.5279827759779727	0.9274216629615478
APR 144	Amazon	Amazonas	APR	4	A	F	2.6917465874142943	0.9901902719184376
APR 146	Amazon	Amazonas	APR	4	A	F	2.512410900639469	0.921242810324335
APR 153	Amazon	Amazonas	APR	4	A	M	2.572975541555415	0.9450630274461931
APR 157	Amazon	Amazonas	APR	4	A	M	2.507121000964295	0.9191350832544645
APR 159	Amazon	Amazonas	APR	4	B	M	2.335174545068417	0.8480866399623928
APR 163	Amazon	Amazonas	APR	4	B	M	2.2360201873643257	0.8046975835903469
APR 172	Amazon	Amazonas	APR	4	B	F	2.624558750369282	0.9649127868166064
APR 175	Amazon	Amazonas	APR	4	C	F	2.262439528986242	0.8164436687148646
APR 178	Amazon	Amazonas	APR	4	C	M	2.2157239967328333	0.7955792109172004
APR 186	Amazon	Amazonas	APR	4	C	M	2.2215989668820293	0.7982271919770485
APR 189	Amazon	Amazonas	APR	7	A	M	2.359538620777494	0.8584661002544137
APR 192	Amazon	Amazonas	APR	7	A	M	2.43986618556578	0.8919431958199964
APR 197	Amazon	Amazonas	APR	7	A	M	2.442153277680117	0.8928801409915053
APR 203	Amazon	Amazonas	APR	7	A	F	2.637068887821389	0.9696680305875346
APR 208	Amazon	Amazonas	APR	7	B	F	2.6245474576419627	0.9649084840927247
APR 209	Amazon	Amazonas	APR	7	B	M	2.3357091884376344	0.848315565965289
APR 231	Amazon	Amazonas	APR	7	C	M	2.245867857811794	0.8090920201294236
APR 235	Amazon	Amazonas	APR	8	A	M	2.224074138916068	0.7993407116762647
APR 239	Amazon	Amazonas	APR	8	A	F	2.6549933114192257	0.9764421354512658
APR 243	Amazon	Amazonas	APR	8	A	M	2.521141609163973	0.9247118184504871
APR 244	Amazon	Amazonas	APR	8	A	M	2.462074982648803	0.9010044832890656
APR 248	Amazon	Amazonas	APR	8	A	M	2.539394379092805	0.9319256191726467
APR 253	Amazon	Amazonas	APR	8	B	F	2.5046235664702294	0.9181384503785538
APR 254	Amazon	Amazonas	APR	8	B	M	2.2111310056334195	0.7935041518764019
APR 256	Amazon	Amazonas	APR	8	B	F	2.402245803063179	0.8764040510879314
APR 259	Amazon	Amazonas	APR	8	B	F	2.2537398663030626	0.812590999153928
APR 261	Amazon	Amazonas	APR	8	B	M	2.042974380156586	0.7144067754517083
APR 262	Amazon	Amazonas	APR	8	B	F	2.422906017035725	0.8849676532305832
APR 263	Amazon	Amazonas	APR	8	B	M	2.2707871693867436	0.820126542037217
APR 265	Amazon	Amazonas	APR	8	C	F	2.3184357939215965	0.8408927315272101
APR 266	Amazon	Amazonas	APR	8	C	M	2.2481445438115335	0.8101052288129093
APR 280	Amazon	Amazonas	APR	10	A	F	2.5211818127245045	0.9247277648930964
APR 285	Amazon	Amazonas	APR	10	A	M	2.3824478050538445	0.8681284486688233
APR 291	Amazon	Amazonas	APR	10	A	M	2.252471551479753	0.8120280806668831
APR 293	Amazon	Amazonas	APR	10	A	M	2.4743167690354326	0.9059643049960573
APR 295	Amazon	Amazonas	APR	10	B	F	2.396336564408944	0.8739411396741863
APR 297	Amazon	Amazonas	APR	10	B	F	2.6440048957328735	0.9722947736264825
APR 308	Amazon	Amazonas	APR	10	B	M	2.5151461848924135	0.9223309270682292
APR 312	Amazon	Amazonas	APR	10	C	M	2.3989050998572328	0.875012424866371
APR 315	Amazon	Amazonas	APR	10	C	F	2.0829806900565093	0.7337998919797494
APR 331	Amazon	Amazonas	APR	14	A	F	2.501133206046988	0.9167439115915087
APR 332	Amazon	Amazonas	APR	14	A	F	2.4793324048204104	0.907989332333654
APR 333	Amazon	Amazonas	APR	14	A	M	2.5272315224695876	0.9271244437065119
APR 353	Amazon	Amazonas	APR	14	B	F	2.646201122212311	0.9731250727105485
APR 359	Amazon	Amazonas	APR	14	C	F	2.382385977744115	0.8681024971613621
APR 363	Amazon	Amazonas	APR	14	C	F	2.3208493217399724	0.841933205641623
APR 370	Amazon	Amazonas	APR	19	A	M	2.387524233908632	0.8702569436494568
APR 378	Amazon	Amazonas	APR	19	A	F	2.654694574991173	0.976329610408454
APR 382	Amazon	Amazonas	APR	19	A	M	2.517444587480036	0.9232443344368708
APR 388	Amazon	Amazonas	APR	19	B	F	2.69061700252814	0.9897705362822761
APR 392	Amazon	Amazonas	APR	19	B	F	2.332680169422698	0.8470178938099462
APR 399	Amazon	Amazonas	APR	19	C	F	2.3312728827649756	0.8464144200250756
APR 400	Amazon	Amazonas	APR	19	C	M	2.2060093905860456	0.791185177660893
APR 402	Amazon	Amazonas	APR	19	C	M	2.2819421530357147	0.8250269018791977
APR 407	Amazon	Amazonas	APR	19	C	M	2.1673005405467114	0.7734824026223813
APR 415	Amazon	Amazonas	APR	18	A	F	2.5319947495959223	0.9290074306604759
APR 418	Amazon	Amazonas	APR	18	A	M	2.5526675299925077	0.9371389025924103
APR 419	Amazon	Amazonas	APR	18	A	F	2.5091059611563695	0.9199264989183363
APR 421	Amazon	Amazonas	APR	18	A	M	2.3601679540500116	0.8587327834756139
APR 426	Amazon	Amazonas	APR	18	A	M	2.333365648433091	0.8473117096197701
APR 433	Amazon	Amazonas	APR	18	B	F	2.5285263488427385	0.9276366622242571
APR 439	Amazon	Amazonas	APR	18	B	M	2.2868123296226406	0.8271588520420163
APR 447	Amazon	Amazonas	APR	18	C	F	2.2887476322000952	0.8280047824675864
APR 450	Amazon	Amazonas	APR	18	C	F	2.3396733777910597	0.8500113374865437
APR 452	Amazon	Amazonas	APR	18	C	M	2.370072763974451	0.8629206567746646
APR 457	Amazon	Amazonas	APR	18	C	F	2.32968181495475	0.8457316981471714
APR 464	Amazon	Amazonas	APR	33	A	M	2.480708147461982	0.9085440627485971
APR 472	Amazon	Amazonas	APR	33	A	F	2.5757901085710313	0.946156325330474
APR 474	Amazon	Amazonas	APR	33	B	F	2.4020518508720623	0.8763233099660473
APR 475	Amazon	Amazonas	APR	33	B	M	2.2567207916358725	0.8139127824452039
APR 477	Amazon	Amazonas	APR	33	B	M	2.2987473168381967	0.832364329709262
APR 478	Amazon	Amazonas	APR	33	B	M	2.200265079344277	0.7885778437168944
APR 480	Amazon	Amazonas	APR	33	B	M	2.3054572968855367	0.8352790502139844
APR 483	Amazon	Amazonas	APR	33	B	F	2.537834642379031	0.9313112144427267
APR 492	Amazon	Amazonas	APR	33	C	F	2.3992178987538932	0.8751428087257235
APR 496	Amazon	Amazonas	APR	33	C	M	2.158217960111447	0.7692828627141152
APR 500	Amazon	Amazonas	APR	33	C	M	2.153682054027328	0.7671789606095247
APR 501	Amazon	Amazonas	APR	33	C	F	2.2457597755754914	0.8090438940401102
APR 504	Amazon	Amazonas	APR	36	A	F	2.6302485683184953	0.9670783543922618
APR 506	Amazon	Amazonas	APR	36	A	M	2.3387551933564374	0.8496188191729913
APR 509	Amazon	Amazonas	APR	36	A	F	2.748630935016484	1.0111029459019125
APR 515	Amazon	Amazonas	APR	36	A	M	2.5132180011901335	0.9215640041782265
APR 523	Amazon	Amazonas	APR	36	B	M	2.4471110610136266	0.8949081700319943
APR 527	Amazon	Amazonas	APR	36	B	M	2.4399915412321693	0.8919945725909741
APR 531	Amazon	Amazonas	APR	36	B	F	2.4181032955687054	0.8829834707047617
APR 534	Amazon	Amazonas	APR	36	C	M	2.319901330844618	0.8415246549654464
APR 542	Amazon	Amazonas	APR	36	C	M	2.4754094051462756	0.9064057985616165
APR 544	Amazon	Amazonas	APR	36	C	M	2.4161248988508452	0.8821649752805722
APR 546	Amazon	Amazonas	APR	36	C	M	2.1563345652578314	0.7684098196987995
APR 562	Amazon	Amazonas	APR	38	A	F	2.5896322396925116	0.9515158732328579
APR 567	Amazon	Amazonas	APR	38	B	F	2.349777344102049	0.8543205764766516
APR 569	Amazon	Amazonas	APR	38	B	F	2.2276855540887635	0.8009631783923339
APR 571	Amazon	Amazonas	APR	38	B	M	2.243796114574991	0.8081691255000736
APR 573	Amazon	Amazonas	APR	38	B	F	2.563518304978447	0.9413806528357641
APR 575	Amazon	Amazonas	APR	38	B	M	2.2639146092013585	0.8170954428457885
APR 585	Amazon	Amazonas	APR	38	C	F	2.4841006219418755	0.9099106712789345
APR 589	Amazon	Amazonas	APR	38	C	M	2.220559089044042	0.7977590060890678
APR 591	Amazon	Amazonas	APR	38	C	F	2.2705866875100567	0.8200382507477814
APR 593	Amazon	Amazonas	APR	38	C	F	2.4474410694232116	0.8950430172667527
APR 605	Amazon	Amazonas	APR	40	A	F	2.5736624284940466	0.94532995391225
APR 606	Amazon	Amazonas	APR	40	A	M	2.5111372711377973	0.9207357465974991
APR 624	Amazon	Amazonas	APR	40	C	F	2.201185693942271	0.7889961669738563
APR 627	Amazon	Amazonas	APR	40	C	M	2.3877999222324826	0.8703724073604606
APR 631	Amazon	Amazonas	APR	40	C	M	2.2192549847709073	0.7971715471149046
APR 639	Amazon	Amazonas	APR	44	A	F	2.6881546561711964	0.9888549567837586
APR 641	Amazon	Amazonas	APR	44	A	F	2.4791124450654536	0.9079006110664986
APR 643	Amazon	Amazonas	APR	44	A	F	2.9094795476598296	1.0679742155864709
APR 657	Amazon	Amazonas	APR	44	B	F	2.5713301358408986	0.9444233276018169
APR 664	Amazon	Amazonas	APR	44	C	M	2.3923308619912524	0.872268146753481
APR 670	Amazon	Amazonas	APR	44	C	F	2.4165296611508595	0.8823324866538498
APR 675	Amazon	Amazonas	APR	6	A	F	2.5553505608984413	0.938189420074901
APR 677	Amazon	Amazonas	APR	6	A	F	2.6611129188120524	0.9787444258235418
APR 677	Amazon	Amazonas	APR	6	A	F	2.6746098987172644	0.9838035374581844
APR 678	Amazon	Amazonas	APR	6	A	F	2.7035332925460964	0.9945595443733443
APR 702	Amazon	Amazonas	APR	6	B	M	2.4809246206993425	0.9086313216198649
APR 709	Amazon	Amazonas	APR	6	C	F	2.190371507364087	0.784071167507293
APR 712	Amazon	Amazonas	APR	6	C	M	2.5051543431059007	0.9183503466530943
APR 714	Amazon	Amazonas	APR	6	C	F	2.3428345368478136	0.8513615368218674
ARS 023	Amazon	Amazonas	ARS	14	A	M	2.408995863154344	0.8792100063852424
ARS 024	Amazon	Amazonas	ARS	14	A	F	2.5371218185143682	0.9310302962221101
ARS 029	Amazon	Amazonas	ARS	14	A	F	2.500057265821197	0.916313637940288
ARS 032	Amazon	Amazonas	ARS	14	A	M	2.457853385350494	0.8992883614195504
ARS 036	Amazon	Amazonas	ARS	14	B	M	2.3728664592617825	0.8640987008013443
ARS 037	Amazon	Amazonas	ARS	14	B	F	2.534990560713192	0.9301899134516742
ARS 038	Amazon	Amazonas	ARS	14	B	M	2.3880387179512566	0.8704724089463449
ARS 039	Amazon	Amazonas	ARS	14	B	F	2.508438496031284	0.9196604464160744
ARS 040	Amazon	Amazonas	ARS	14	B	M	2.407297103479669	0.878504584287007
ARS 042	Amazon	Amazonas	ARS	14	B	M	2.2332245087450397	0.8034465091139968
ARS 045	Amazon	Amazonas	ARS	14	B	M	2.3573203605679245	0.8575255334993432
ARS 048	Amazon	Amazonas	ARS	14	B	M	2.360191185481148	0.8587426265534179
ARS 056	Amazon	Amazonas	ARS	14	C	M	2.2828990260111848	0.8254461379279247
ARS 057	Amazon	Amazonas	ARS	14	C	F	2.16115963113771	0.7706449439023962
ARS 059	Amazon	Amazonas	ARS	14	C	M	2.4092240703610486	0.8793047331557196
ARS 061	Amazon	Amazonas	ARS	14	C	M	2.231644150369736	0.8027386009706856
ARS 074	Amazon	Amazonas	ARS	17	A	M	2.217738039467766	0.7964877753109113
ARS 076	Amazon	Amazonas	ARS	17	A	F	2.315219048477027	0.8395043044342436
ARS 078	Amazon	Amazonas	ARS	17	A	M	2.4632389844543	0.9014771442544139
ARS 082	Amazon	Amazonas	ARS	17	B	M	2.2372004612741403	0.8052252901489597
ARS 089	Amazon	Amazonas	ARS	17	B	F	2.604969718298438	0.9574210506841911
ARS 093	Amazon	Amazonas	ARS	17	B	F	2.2869333747331058	0.8272117824488722
