"ARS","APR","RPV","RMO","TLC","TPN"
"APR",0.619685520441969,NA,NA,NA,NA,NA
"RPV",0.0921832170756772,0.214515014263154,NA,NA,NA,NA
"RMO",0.0124025832482975,0.0369865395084511,0.413144768818834,NA,NA,NA
"TLC",0.00417426076296976,0.0133476705457184,0.213994160699118,0.649147409380938,NA,NA
"TPN",1.5928662326767e-12,7.89709335508652e-12,9.57769004585522e-09,3.45101876633011e-07,4.31652445161765e-06,NA
"SJU",6.53278878441014e-19,2.70932261623544e-18,6.95620936783567e-14,9.56843462870805e-12,5.50911353611244e-10,0.302895110903369
