Ref,pop,Temp,pop_Temp,pop_Temp_Rep,Rep,Date,EG,age,Pup,DeadLarv,DeadPup,CombDeath,EG_male,EG_fem,tot_EG,Lsurv,Psurv,CombSurv,Hatch_date
404,MD,24,MD_24,MD_24_2,2,9/12/2011,2,10,4,1,,1,7,28,35,1,,1,9/2/2011
405,MD,24,MD_24,MD_24_3,3,9/12/2011,2,10,7,1,1,2,13,19,32,1,1,1,9/2/2011
406,MD,24,MD_24,MD_24_1,1,9/13/2011,2,11,,,,,2,26,28,,,,9/2/2011
407,MD,24,MD_24,MD_24_2,2,9/13/2011,2,11,,,,,1,19,20,,,,9/2/2011
408,MD,24,MD_24,MD_24_3,3,9/13/2011,2,11,1,1,,1,3,22,25,1,,1,9/2/2011
409,MD,24,MD_24,MD_24_1,1,9/14/2011,2,12,,,,,3,7,10,,,,9/2/2011
410,MD,24,MD_24,MD_24_2,2,9/14/2011,2,12,,,,,3,4,7,,,,9/2/2011
411,MD,24,MD_24,MD_24_3,3,9/14/2011,2,12,,,,,,14,14,,,,9/2/2011
412,MD,27,MD_27,MD_27_3,3,9/7/2011,,5,1,,,,,,,,,,9/2/2011
413,MD,27,MD_27,MD_27_2,2,9/8/2011,,6,81,,,,,,,,,,9/2/2011
414,MD,27,MD_27,MD_27_3,3,9/8/2011,,6,62,,,,,,,,,,9/2/2011
415,MD,27,MD_27,MD_27_2,2,9/9/2011,1,7,65,,1,1,4,,4,,1,1,9/2/2011
416,MD,27,MD_27,MD_27_3,3,9/9/2011,1,7,62,,1,1,15,,15,,1,1,9/2/2011
417,MD,27,MD_27,MD_27_2,2,9/10/2011,1,8,34,1,,1,71,34,105,1,,1,9/2/2011
418,MD,27,MD_27,MD_27_3,3,9/10/2011,1,8,34,,,,59,25,84,,,,9/2/2011
419,MD,27,MD_27,MD_27_2,2,9/11/2011,2,9,9,,,,7,44,51,,,,9/2/2011
420,MD,27,MD_27,MD_27_3,3,9/11/2011,2,9,7,1,,1,11,48,59,1,,1,9/2/2011
421,MD,27,MD_27,MD_27_2,2,9/12/2011,2,10,3,2,,2,8,10,18,1,,1,9/2/2011
422,MD,27,MD_27,MD_27_3,3,9/12/2011,2,10,2,3,,3,4,16,20,1,,1,9/2/2011
423,MD,27,MD_27,MD_27_2,2,9/13/2011,2,11,,,1,1,2,4,6,,1,1,9/2/2011
424,MD,27,MD_27,MD_27_3,3,9/13/2011,2,11,,,,,1,4,5,,,,9/2/2011
465,2100,16,2100_16,2100_16_1,1,9/7/2011,,5,,1,,1,,,,1,,1,9/2/2011
466,2100,16,2100_16,2100_16_1,1,9/13/2011,,11,,1,,1,,,,1,,1,9/2/2011
467,2100,16,2100_16,2100_16_1,1,9/15/2011,,13,2,,,,,,,,,,9/2/2011
468,2100,16,2100_16,2100_16_1,1,9/16/2011,,14,9,,1,1,,,,,1,1,9/2/2011
469,2100,16,2100_16,2100_16_1,1,9/17/2011,,15,45,,,,,,,,,,9/2/2011
470,2100,16,2100_16,2100_16_1,1,9/18/2011,,16,39,,,,,,,,,,9/2/2011
471,2100,16,2100_16,2100_16_1,1,9/19/2011,,17,12,,,,,,,,,,9/2/2011
472,2100,16,2100_16,2100_16_1,1,9/20/2011,1,18,8,,,,7,1,8,,,,9/2/2011
473,2100,16,2100_16,2100_16_1,1,9/21/2011,1,19,8,,,,35,4,39,,,,9/2/2011
474,2100,16,2100_16,2100_16_1,1,9/22/2011,1,20,4,,,,14,22,36,,,,9/2/2011
475,2100,16,2100_16,2100_16_1,1,9/23/2011,1,21,2,,,,14,8,22,,,,9/2/2011
476,2100,16,2100_16,2100_16_1,1,9/24/2011,2,22,4,,,,4,4,8,,,,9/2/2011
477,2100,16,2100_16,2100_16_1,1,9/25/2011,2,23,4,,,,1,7,8,,,,9/2/2011
478,2100,16,2100_16,2100_16_1,1,9/26/2011,2,24,1,1,,1,1,1,2,1,,1,9/2/2011
479,2100,16,2100_16,2100_16_1,1,9/27/2011,2,25,4,,,,1,4,5,,,,9/2/2011
480,2100,16,2100_16,2100_16_1,1,9/28/2011,2,26,5,,,,1,2,3,,,,9/2/2011
481,2100,16,2100_16,2100_16_1,1,9/29/2011,2,27,3,2,1,3,1,2,3,1,1,1,9/2/2011
482,2100,16,2100_16,2100_16_1,1,9/30/2011,2,28,1,,,,1,2,3,,,,9/2/2011
483,2100,16,2100_16,2100_16_1,1,10/2/2011,2,30,,6,6,12,2,5,7,0,0,0,9/2/2011
484,2100,20,2100_20,2100_20_1,1,9/6/2011,,4,,2,,2,,,,1,,1,9/2/2011
485,2100,20,2100_20,2100_20_1,1,9/7/2011,,5,,1,,1,,,,1,,1,9/2/2011
486,2100,20,2100_20,2100_20_1,1,9/10/2011,,8,3,,,,,,,,,,9/2/2011
487,2100,20,2100_20,2100_20_1,1,9/11/2011,,9,20,,,,,,,,,,9/2/2011
488,2100,20,2100_20,2100_20_1,1,9/12/2011,,10,33,1,,1,,,,1,,1,9/2/2011
489,2100,20,2100_20,2100_20_1,1,9/13/2011,1,11,46,,,,2,,2,,,,9/2/2011
490,2100,20,2100_20,2100_20_1,1,9/14/2011,1,12,29,,,,21,5,26,,,,9/2/2011
491,2100,20,2100_20,2100_20_1,1,9/15/2011,1,13,13,,,,31,13,44,,,,9/2/2011
492,2100,20,2100_20,2100_20_1,1,9/16/2011,2,14,14,,,,21,23,44,,,,9/2/2011
493,2100,20,2100_20,2100_20_1,1,9/17/2011,2,15,3,,,,7,7,14,,,,9/2/2011
494,2100,20,2100_20,2100_20_1,1,9/18/2011,2,16,3,3,1,4,3,7,10,0,1,?,9/2/2011
495,2100,20,2100_20,2100_20_1,1,9/19/2011,2,17,,,6,6,1,8,9,,?,?,9/2/2011
496,2100,24,2100_24,2100_24_1,1,9/6/2011,,4,,2,,2,,,,1,,1,9/2/2011
497,2100,24,2100_24,2100_24_1,1,9/8/2011,,6,1,,,,,,,,,,9/2/2011
498,2100,24,2100_24,2100_24_1,1,9/9/2011,,7,45,,,,,,,,,,9/2/2011
499,2100,24,2100_24,2100_24_1,1,9/10/2011,1,8,77,1,,1,1,,1,1,,1,9/2/2011
500,2100,24,2100_24,2100_24_1,1,9/11/2011,1,9,21,1,,1,23,5,28,1,,1,9/2/2011
501,2100,24,2100_24,2100_24_1,1,9/12/2011,1,10,10,,1,1,21,29,50,,1,1,9/2/2011
502,2100,24,2100_24,2100_24_1,1,9/13/2011,2,11,7,1,1,2,12,15,27,1,1,1,9/2/2011
503,2100,24,2100_24,2100_24_1,1,9/14/2011,2,12,,,,,5,7,12,,,,9/2/2011
504,2100,24,2100_24,2100_24_1,1,9/15/2011,2,13,,3,2,5,2,5,7,0,?,?,9/2/2011
505,2100,27,2100_27,2100_27_1,1,9/8/2011,,6,8,,,,,,,,,,9/2/2011
506,2100,27,2100_27,2100_27_1,1,9/9/2011,,7,78,,,,,,,,,,9/2/2011
507,2100,27,2100_27,2100_27_1,1,9/10/2011,1,8,42,,,,24,5,29,,,,9/2/2011
508,2100,27,2100_27,2100_27_1,1,9/11/2011,1,9,31,1,1,2,40,36,76,1,1,1,9/2/2011
509,2100,27,2100_27,2100_27_1,1,9/12/2011,2,10,7,3,,3,11,19,30,1,,1,9/2/2011
510,2100,27,2100_27,2100_27_1,1,9/13/2011,2,11,,,,,6,14,20,,,,9/2/2011
511,2100,27,2100_27,2100_27_1,1,9/14/2011,2,12,,,,,,7,7,,,,9/2/2011
