"","ID","Biome","State","Latitude","Lat_group","Locality","Family","Temp_let","Temp_num","Sex","Sex1","Wing.length..mm.","sLL","dLL","dPL","Emtime","Preadult.death","Death_stat","AdRate","LarvRate","Puplen","Puprate","D.pread.rate","AL","time","Lat_grouple","growth"
"413","RPV 515","Amazon","Rondonia",-8.742,"2","RPV",28,"B","24","F",0,2.751,15,NA,NA,16,NA,1,0.0625,0.066666667,1,1,NA,3,16,"Mid latitude",0.0674642987961625
"414","RPV 516","Amazon","Rondonia",-8.742,"2","RPV",28,"B","24","M",1,2.585,17,NA,NA,20,NA,1,0.05,0.058823529,3,0.333333333,NA,2,20,"Mid latitude",0.0558662063506113
"415","RPV 517","Amazon","Rondonia",-8.742,"2","RPV",28,"B","24","F",0,2.599,18,NA,NA,21,NA,1,0.047619048,0.055555556,3,0.333333333,NA,2,21,"Mid latitude",0.0530625975366307
"416","RPV 518","Amazon","Rondonia",-8.742,"2","RPV",28,"B","24","F",0,2.45,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,3,20,"Mid latitude",0.0497826680309242
"418","RPV 520","Amazon","Rondonia",-8.742,"2","RPV",28,"B","24","F",0,2.537,15,NA,NA,17,NA,1,0.058823529,0.066666667,2,0.5,NA,3,17,"Mid latitude",0.0620654853744763
"419","RPV 521","Amazon","Rondonia",-8.742,"2","RPV",28,"B","24","F",0,2.548,17,NA,NA,19,NA,1,0.052631579,0.058823529,2,0.5,NA,2,19,"Mid latitude",0.0550181610417598
"420","RPV 522","Amazon","Rondonia",-8.742,"2","RPV",28,"B","24","F",0,2.623,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,2,20,"Mid latitude",0.0535732611602631
"423","RPV 525","Amazon","Rondonia",-8.742,"2","RPV",28,"B","24","M",1,2.743,17,NA,NA,19,NA,1,0.052631579,0.058823529,2,0.5,NA,2,19,"Mid latitude",0.0593560124679686
"424","RPV 526","Amazon","Rondonia",-8.742,"2","RPV",28,"B","24","F",0,2.501,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,3,20,"Mid latitude",0.0509272584386379
"428","RPV 530","Amazon","Rondonia",-8.742,"2","RPV",28,"C","28","M",1,2.561,12,NA,NA,14,NA,1,0.071428571,0.083333333,2,0.5,NA,1,14,"Mid latitude",0.0783664839347823
"429","RPV 531","Amazon","Rondonia",-8.742,"2","RPV",28,"C","28","F",0,2.714,15,NA,NA,16,NA,1,0.0625,0.066666667,1,1,NA,1,16,"Mid latitude",0.0665615707608452
"430","RPV 532","Amazon","Rondonia",-8.742,"2","RPV",28,"C","28","F",0,2.424,16,NA,NA,18,NA,1,0.055555556,0.0625,2,0.5,NA,2,18,"Mid latitude",0.0553386917629417
"431","RPV 533","Amazon","Rondonia",-8.742,"2","RPV",28,"C","28","F",0,2.481,18,NA,NA,19,NA,1,0.052631579,0.055555556,1,1,NA,2,19,"Mid latitude",0.0504812058172035
"432","RPV 534","Amazon","Rondonia",-8.742,"2","RPV",28,"C","28","F",0,2.522,22,NA,NA,23,NA,1,0.043478261,0.045454545,1,1,NA,2,23,"Mid latitude",0.0420478289792149
"433","RPV 535","Amazon","Rondonia",-8.742,"2","RPV",28,"C","28","F",0,2.62,13,NA,NA,14,NA,1,0.071428571,0.076923077,1,1,NA,2,14,"Mid latitude",0.074090332136385
"434","RPV 536","Amazon","Rondonia",-8.742,"2","RPV",28,"C","28","F",0,2.445,17,NA,NA,18,NA,1,0.055555556,0.058823529,1,1,NA,2,18,"Mid latitude",0.0525908895839315
"436","RPV 538","Amazon","Rondonia",-8.742,"2","RPV",28,"C","28","F",0,2.204,18,NA,NA,19,NA,1,0.052631579,0.055555556,1,1,NA,2,19,"Mid latitude",0.0439041050717038
"438","RPV 540","Amazon","Rondonia",-8.742,"2","RPV",28,"C","28","M",1,2.308,14,NA,NA,15,NA,1,0.066666667,0.071428571,1,1,NA,1,15,"Mid latitude",0.0597415249032752
"440","RPV 542","Amazon","Rondonia",-8.742,"2","RPV",28,"C","28","M",1,2.481,17,NA,NA,18,NA,1,0.055555556,0.058823529,1,1,NA,0,18,"Mid latitude",0.0534506885123332
"441","RPV 543","Amazon","Rondonia",-8.742,"2","RPV",28,"C","28","F",0,2.561,18,NA,NA,19,NA,1,0.052631579,0.055555556,1,1,NA,2,19,"Mid latitude",0.0522443226231882
"443","RPV 545","Amazon","Rondonia",-8.742,"2","RPV",37,"A","20","F",0,2.379,18,NA,NA,21,NA,1,0.047619048,0.055555556,3,0.333333333,NA,4,21,"Mid latitude",0.0481489017400456
"444","RPV 546","Amazon","Rondonia",-8.742,"2","RPV",37,"A","20","M",1,2.723,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,0,22,"Mid latitude",0.0527228533521907
"445","RPV 547","Amazon","Rondonia",-8.742,"2","RPV",37,"A","20","F",0,2.757,20,NA,NA,23,NA,1,0.043478261,0.05,3,0.333333333,NA,3,23,"Mid latitude",0.050707156602083
"447","RPV 549","Amazon","Rondonia",-8.742,"2","RPV",37,"A","20","F",0,2.808,23,NA,NA,26,NA,1,0.038461538,0.043478261,3,0.333333333,NA,4,26,"Mid latitude",0.044890108094068
"448","RPV 550","Amazon","Rondonia",-8.742,"2","RPV",37,"A","20","M",1,2.946,17,NA,NA,20,NA,1,0.05,0.058823529,3,0.333333333,NA,5,20,"Mid latitude",0.0635557834141434
"449","RPV 551","Amazon","Rondonia",-8.742,"2","RPV",37,"A","20","M",1,2.838,18,NA,NA,21,NA,1,0.047619048,0.055555556,3,0.333333333,NA,5,21,"Mid latitude",0.0579499765965473
"450","RPV 552","Amazon","Rondonia",-8.742,"2","RPV",37,"A","20","M",1,2.762,18,NA,NA,21,NA,1,0.047619048,0.055555556,3,0.333333333,NA,4,21,"Mid latitude",0.0564419474992834
"453","RPV 555","Amazon","Rondonia",-8.742,"2","RPV",37,"A","20","F",0,2.792,17,NA,NA,20,NA,1,0.05,0.058823529,3,0.333333333,NA,5,20,"Mid latitude",0.0603975402882427
"454","RPV 556","Amazon","Rondonia",-8.742,"2","RPV",37,"A","20","M",1,2.883,17,NA,NA,20,NA,1,0.05,0.058823529,3,0.333333333,NA,5,20,"Mid latitude",0.0622842010974274
"455","RPV 557","Amazon","Rondonia",-8.742,"2","RPV",37,"A","20","M",1,2.9,20,NA,NA,23,NA,1,0.043478261,0.05,3,0.333333333,NA,4,23,"Mid latitude",0.0532355368496214
"458","RPV 560","Amazon","Rondonia",-8.742,"2","RPV",37,"B","24","F",0,3.002,14,NA,NA,16,NA,1,0.0625,0.071428571,2,0.5,NA,3,16,"Mid latitude",0.0785199095150907
"459","RPV 561","Amazon","Rondonia",-8.742,"2","RPV",37,"B","24","M",1,2.371,15,NA,NA,17,NA,1,0.058823529,0.066666667,2,0.5,NA,3,17,"Mid latitude",0.0575541204722179
"460","RPV 562","Amazon","Rondonia",-8.742,"2","RPV",37,"B","24","M",1,2.596,16,NA,NA,18,NA,1,0.055555556,0.0625,2,0.5,NA,2,18,"Mid latitude",0.0596232374276152
"463","RPV 565","Amazon","Rondonia",-8.742,"2","RPV",37,"B","24","F",0,2.745,15,NA,NA,16,NA,1,0.0625,0.066666667,1,1,NA,3,16,"Mid latitude",0.0673187383307663
"464","RPV 566","Amazon","Rondonia",-8.742,"2","RPV",37,"B","24","F",0,2.483,15,NA,NA,17,NA,1,0.058823529,0.066666667,2,0.5,NA,3,17,"Mid latitude",0.0606311671017353
"465","RPV 567","Amazon","Rondonia",-8.742,"2","RPV",37,"B","24","M",1,2.551,15,NA,NA,16,NA,1,0.0625,0.066666667,1,1,NA,2,16,"Mid latitude",0.062432362610645
"466","RPV 568","Amazon","Rondonia",-8.742,"2","RPV",37,"B","24","M",1,2.446,16,NA,NA,17,NA,1,0.058823529,0.0625,1,1,NA,3,17,"Mid latitude",0.0559033773290613
"468","RPV 570","Amazon","Rondonia",-8.742,"2","RPV",37,"B","24","M",1,2.59,16,NA,NA,18,NA,1,0.055555556,0.0625,2,0.5,NA,2,18,"Mid latitude",0.0594786172319654
"469","RPV 571","Amazon","Rondonia",-8.742,"2","RPV",37,"B","24","M",1,2.496,17,NA,NA,19,NA,1,0.052631579,0.058823529,2,0.5,NA,1,19,"Mid latitude",0.0538052617945401
"470","RPV 572","Amazon","Rondonia",-8.742,"2","RPV",37,"B","24","M",1,NA,19,NA,NA,21,NA,1,0.047619048,0.052631579,2,0.5,NA,0,21,"Mid latitude",NA
"471","RPV 573","Amazon","Rondonia",-8.742,"2","RPV",37,"B","24","M",1,2.359,19,NA,NA,21,NA,1,0.047619048,0.052631579,2,0.5,NA,2,21,"Mid latitude",0.0451704105487125
"472","RPV 574","Amazon","Rondonia",-8.742,"2","RPV",37,"B","24","F",0,2.629,20,NA,NA,22,NA,1,0.045454545,0.05,2,0.5,NA,2,22,"Mid latitude",0.0483301772873872
"474","RPV 576","Amazon","Rondonia",-8.742,"2","RPV",37,"C","28","F",0,2.795,16,NA,NA,17,NA,1,0.058823529,0.0625,1,1,NA,0,17,"Mid latitude",0.0642395066629414
"475","RPV 577","Amazon","Rondonia",-8.742,"2","RPV",37,"C","28","F",0,2.319,17,NA,NA,18,NA,1,0.055555556,0.058823529,1,1,NA,2,18,"Mid latitude",0.0494785916631409
"476","RPV 578","Amazon","Rondonia",-8.742,"2","RPV",37,"C","28","F",0,2.405,18,NA,NA,19,NA,1,0.052631579,0.055555556,1,1,NA,2,19,"Mid latitude",0.0487527724198736
"477","RPV 579","Amazon","Rondonia",-8.742,"2","RPV",37,"C","28","M",1,2.433,18,NA,NA,19,NA,1,0.052631579,0.055555556,1,1,NA,2,19,"Mid latitude",0.0493958368778547
"478","RPV 580","Amazon","Rondonia",-8.742,"2","RPV",37,"C","28","M",1,2.631,13,NA,NA,14,NA,1,0.071428571,0.076923077,1,1,NA,1,14,"Mid latitude",0.074412615542935
"480","RPV 582","Amazon","Rondonia",-8.742,"2","RPV",37,"C","28","F",0,2.307,15,NA,NA,16,NA,1,0.0625,0.066666667,1,1,NA,1,16,"Mid latitude",0.0557298652794411
"483","RPV 585","Amazon","Rondonia",-8.742,"2","RPV",37,"C","28","F",0,2.518,11,NA,NA,12,NA,1,0.083333333,0.090909091,1,1,NA,2,12,"Mid latitude",0.0839513577838323
"485","RPV 587","Amazon","Rondonia",-8.742,"2","RPV",37,"C","28","F",0,2.12,16,NA,NA,17,NA,1,0.058823529,0.0625,1,1,NA,2,17,"Mid latitude",0.0469635055427451
"487","RPV 590","Amazon","Rondonia",-8.742,"2","RPV",43,"A","20","M",1,2.93,17,NA,NA,20,NA,1,0.05,0.058823529,3,0.333333333,NA,4,20,"Mid latitude",0.0632354366487633
"488","RPV 591","Amazon","Rondonia",-8.742,"2","RPV",43,"A","20","F",0,2.802,18,NA,NA,21,NA,1,0.047619048,0.055555556,3,0.333333333,NA,4,21,"Mid latitude",0.0572407471063786
"489","RPV 592","Amazon","Rondonia",-8.742,"2","RPV",43,"A","20","F",0,2.735,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,4,22,"Mid latitude",0.0529542860986287
"490","RPV 593","Amazon","Rondonia",-8.742,"2","RPV",43,"A","20","F",0,2.963,21,NA,NA,24,NA,1,0.041666667,0.047619048,3,0.333333333,NA,6,24,"Mid latitude",0.0517239175519728
"491","RPV 594","Amazon","Rondonia",-8.742,"2","RPV",43,"A","20","M",1,3.068,22,NA,NA,25,NA,1,0.04,0.045454545,3,0.333333333,NA,5,25,"Mid latitude",0.0509557219775004
"492","RPV 595","Amazon","Rondonia",-8.742,"2","RPV",43,"A","20","M",1,2.931,18,NA,NA,21,NA,1,0.047619048,0.055555556,3,0.333333333,NA,5,21,"Mid latitude",0.0597413145404864
"493","RPV 596","Amazon","Rondonia",-8.742,"2","RPV",43,"A","20","F",0,2.822,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,4,22,"Mid latitude",0.0546024133384538
"494","RPV 597","Amazon","Rondonia",-8.742,"2","RPV",43,"A","20","F",0,2.732,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,4,22,"Mid latitude",0.0528965232478181
"495","RPV 598","Amazon","Rondonia",-8.742,"2","RPV",43,"A","20","F",0,3.073,23,NA,NA,26,NA,1,0.038461538,0.043478261,3,0.333333333,NA,4,26,"Mid latitude",0.0488110557890586
"497","RPV 600","Amazon","Rondonia",-8.742,"2","RPV",43,"A","20","M",1,2.896,17,NA,NA,20,NA,1,0.05,0.058823529,3,0.333333333,NA,4,20,"Mid latitude",0.0625488514425571
"498","RPV 601","Amazon","Rondonia",-8.742,"2","RPV",43,"A","20","F",0,2.829,18,NA,NA,21,NA,1,0.047619048,0.055555556,3,0.333333333,NA,4,21,"Mid latitude",0.0577735162399683
"499","RPV 602","Amazon","Rondonia",-8.742,"2","RPV",43,"A","20","F",0,3.029,21,NA,NA,24,NA,1,0.041666667,0.047619048,3,0.333333333,NA,5,24,"Mid latitude",0.0527729777164333
"500","RPV 603","Amazon","Rondonia",-8.742,"2","RPV",43,"A","20","M",1,2.923,21,NA,NA,24,NA,1,0.041666667,0.047619048,3,0.333333333,NA,4,24,"Mid latitude",0.0510766898156719
"501","RPV 604","Amazon","Rondonia",-8.742,"2","RPV",43,"A","20","M",1,3.05,21,NA,NA,24,NA,1,0.041666667,0.047619048,3,0.333333333,NA,6,24,"Mid latitude",0.0531019805056819
"502","RPV 605","Amazon","Rondonia",-8.742,"2","RPV",43,"B","24","M",1,2.752,15,NA,NA,17,NA,1,0.058823529,0.066666667,2,0.5,NA,3,17,"Mid latitude",0.0674885280047398
"503","RPV 606","Amazon","Rondonia",-8.742,"2","RPV",43,"B","24","M",1,2.735,16,NA,NA,18,NA,1,0.055555556,0.0625,2,0.5,NA,3,18,"Mid latitude",0.0628832147421215
"504","RPV 607","Amazon","Rondonia",-8.742,"2","RPV",43,"B","24","F",0,2.696,17,NA,NA,19,NA,1,0.052631579,0.058823529,2,0.5,NA,3,19,"Mid latitude",0.0583393642970624
"505","RPV 608","Amazon","Rondonia",-8.742,"2","RPV",43,"B","24","F",0,2.928,19,NA,NA,21,NA,1,0.047619048,0.052631579,2,0.5,NA,4,21,"Mid latitude",0.0565431366367929
"507","RPV 610","Amazon","Rondonia",-8.742,"2","RPV",43,"B","24","F",0,2.483,16,NA,NA,17,NA,1,0.058823529,0.0625,1,1,NA,3,17,"Mid latitude",0.0568417191578768
"508","RPV 611","Amazon","Rondonia",-8.742,"2","RPV",43,"B","24","F",0,2.69,17,NA,NA,19,NA,1,0.052631579,0.058823529,2,0.5,NA,2,19,"Mid latitude",0.058208305506691
"509","RPV 612","Amazon","Rondonia",-8.742,"2","RPV",43,"B","24","M",1,2.745,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,3,20,"Mid latitude",0.0560989486089719
"510","RPV 613","Amazon","Rondonia",-8.742,"2","RPV",43,"B","24","M",1,2.656,19,NA,NA,21,NA,1,0.047619048,0.052631579,2,0.5,NA,2,21,"Mid latitude",0.0514116437691678
"511","RPV 614","Amazon","Rondonia",-8.742,"2","RPV",43,"B","24","M",1,2.935,20,NA,NA,22,NA,1,0.045454545,0.05,2,0.5,NA,3,22,"Mid latitude",0.053835372664003
"512","RPV 615","Amazon","Rondonia",-8.742,"2","RPV",43,"B","24","M",1,2.686,14,NA,NA,16,NA,1,0.0625,0.071428571,2,0.5,NA,2,16,"Mid latitude",0.0705752212929318
"513","RPV 616","Amazon","Rondonia",-8.742,"2","RPV",43,"B","24","M",1,2.633,15,NA,NA,17,NA,1,0.058823529,0.066666667,2,0.5,NA,3,17,"Mid latitude",0.0645415920342782
"514","RPV 617","Amazon","Rondonia",-8.742,"2","RPV",43,"B","24","M",1,2.869,16,NA,NA,18,NA,1,0.055555556,0.0625,2,0.5,NA,3,18,"Mid latitude",0.0658727210624517
"515","RPV 618","Amazon","Rondonia",-8.742,"2","RPV",43,"B","24","M",1,2.86,20,NA,NA,22,NA,1,0.045454545,0.05,2,0.5,NA,3,22,"Mid latitude",0.0525410812415881
"516","RPV 619","Amazon","Rondonia",-8.742,"2","RPV",43,"B","24","F",0,2.727,20,NA,NA,22,NA,1,0.045454545,0.05,2,0.5,NA,3,22,"Mid latitude",0.0501601051931726
"517","RPV 620","Amazon","Rondonia",-8.742,"2","RPV",43,"C","28","M",1,2.565,14,NA,NA,15,NA,1,0.066666667,0.071428571,1,1,NA,2,15,"Mid latitude",0.0672827484730524
"518","RPV 621","Amazon","Rondonia",-8.742,"2","RPV",43,"C","28","M",1,2.545,14,NA,NA,15,NA,1,0.066666667,0.071428571,1,1,NA,2,15,"Mid latitude",0.0667236178573204
"519","RPV 622","Amazon","Rondonia",-8.742,"2","RPV",43,"C","28","F",0,2.597,16,NA,NA,17,NA,1,0.058823529,0.0625,1,1,NA,2,17,"Mid latitude",0.0596473082925382
"520","RPV 623","Amazon","Rondonia",-8.742,"2","RPV",43,"C","28","F",0,2.669,16,NA,NA,17,NA,1,0.058823529,0.0625,1,1,NA,2,17,"Mid latitude",0.0613564919013992
"521","RPV 624","Amazon","Rondonia",-8.742,"2","RPV",43,"C","28","F",0,2.6,17,NA,NA,18,NA,1,0.055555556,0.058823529,1,1,NA,2,18,"Mid latitude",0.0562065555898492
"522","RPV 625","Amazon","Rondonia",-8.742,"2","RPV",43,"C","28","M",1,2.542,13,NA,NA,14,NA,1,0.071428571,0.076923077,1,1,NA,2,14,"Mid latitude",0.0717654748282509
"523","RPV 626","Amazon","Rondonia",-8.742,"2","RPV",43,"C","28","M",1,2.566,14,NA,NA,16,NA,1,0.0625,0.071428571,2,0.5,NA,2,16,"Mid latitude",0.0673105904423889
"524","RPV 627","Amazon","Rondonia",-8.742,"2","RPV",43,"C","28","F",0,2.584,16,NA,NA,18,NA,1,0.055555556,0.0625,2,0.5,NA,1,18,"Mid latitude",0.0593336616200222
"525","RPV 628","Amazon","Rondonia",-8.742,"2","RPV",43,"C","28","M",1,2.644,17,NA,NA,19,NA,1,0.052631579,0.058823529,2,0.5,NA,1,19,"Mid latitude",0.0571937012934965
"526","RPV 629","Amazon","Rondonia",-8.742,"2","RPV",43,"C","28","F",0,2.68,19,NA,NA,20,NA,1,0.05,0.052631579,1,1,NA,2,20,"Mid latitude",0.0518850944485666
"527","RPV 630","Amazon","Rondonia",-8.742,"2","RPV",43,"C","28","M",1,2.517,13,NA,NA,14,NA,1,0.071428571,0.076923077,1,1,NA,3,14,"Mid latitude",0.0710052089348599
"528","RPV 631","Amazon","Rondonia",-8.742,"2","RPV",43,"C","28","M",1,2.737,14,NA,NA,15,NA,1,0.066666667,0.071428571,1,1,NA,2,15,"Mid latitude",0.0719187450041816
"529","RPV 632","Amazon","Rondonia",-8.742,"2","RPV",43,"C","28","M",1,2.631,15,NA,NA,17,NA,1,0.058823529,0.066666667,2,0.5,NA,2,17,"Mid latitude",0.0644909334705437
"530","RPV 633","Amazon","Rondonia",-8.742,"2","RPV",43,"C","28","M",1,2.576,17,NA,NA,18,NA,1,0.055555556,0.058823529,1,1,NA,2,18,"Mid latitude",0.0556610475436534
"532","RPV 635","Amazon","Rondonia",-8.742,"2","RPV",33,"A","20","F",0,2.674,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,5,22,"Mid latitude",0.051767130456829
"533","RPV 636","Amazon","Rondonia",-8.742,"2","RPV",33,"A","20","M",1,2.584,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,4,22,"Mid latitude",0.0499651887326503
"534","RPV 637","Amazon","Rondonia",-8.742,"2","RPV",33,"A","20","F",0,2.66,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,4,22,"Mid latitude",0.0514908485680846
"535","RPV 638","Amazon","Rondonia",-8.742,"2","RPV",33,"A","20","M",1,2.87,21,NA,NA,24,NA,1,0.041666667,0.047619048,3,0.333333333,NA,5,24,"Mid latitude",0.0502053347510252
"536","RPV 639","Amazon","Rondonia",-8.742,"2","RPV",33,"A","20","M",1,3,22,NA,NA,25,NA,1,0.04,0.045454545,3,0.333333333,NA,4,25,"Mid latitude",0.0499369222121868
"537","RPV 640","Amazon","Rondonia",-8.742,"2","RPV",33,"A","20","M",1,2.805,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,4,22,"Mid latitude",0.05428439678814
"538","RPV 641","Amazon","Rondonia",-8.742,"2","RPV",33,"A","20","M",1,2.924,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,5,22,"Mid latitude",0.0564711864151333
"539","RPV 642","Amazon","Rondonia",-8.742,"2","RPV",33,"A","20","M",1,2.73,20,NA,NA,23,NA,1,0.043478261,0.05,3,0.333333333,NA,4,23,"Mid latitude",0.0502150804598434
"540","RPV 643","Amazon","Rondonia",-8.742,"2","RPV",33,"A","20","F",0,2.733,22,NA,NA,25,NA,1,0.04,0.045454545,3,0.333333333,NA,5,25,"Mid latitude",0.0456999957702696
"541","RPV 644","Amazon","Rondonia",-8.742,"2","RPV",33,"A","20","F",0,2.798,23,NA,NA,26,NA,1,0.038461538,0.043478261,3,0.333333333,NA,4,26,"Mid latitude",0.0447349946192735
"542","RPV 645","Amazon","Rondonia",-8.742,"2","RPV",33,"A","20","M",1,2.776,18,NA,NA,21,NA,1,0.047619048,0.055555556,3,0.333333333,NA,5,21,"Mid latitude",0.0567228357024754
"543","RPV 646","Amazon","Rondonia",-8.742,"2","RPV",33,"A","20","M",1,NA,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,2,22,"Mid latitude",NA
"544","RPV 647","Amazon","Rondonia",-8.742,"2","RPV",33,"A","20","M",1,2.817,20,NA,NA,23,NA,1,0.043478261,0.05,3,0.333333333,NA,4,23,"Mid latitude",0.0517836244447118
"545","RPV 648","Amazon","Rondonia",-8.742,"2","RPV",33,"A","20","F",0,2.674,24,NA,NA,27,NA,1,0.037037037,0.041666667,3,0.333333333,NA,3,27,"Mid latitude",0.0409823116116563
"546","RPV 649","Amazon","Rondonia",-8.742,"2","RPV",33,"A","20","F",0,2.802,24,NA,NA,27,NA,1,0.037037037,0.041666667,3,0.333333333,NA,5,27,"Mid latitude",0.042930560329784
"547","RPV 650","Amazon","Rondonia",-8.742,"2","RPV",33,"B","24","F",0,2.565,16,NA,NA,17,NA,1,0.058823529,0.0625,1,1,NA,3,17,"Mid latitude",0.0588724049139208
"548","RPV 651","Amazon","Rondonia",-8.742,"2","RPV",33,"B","24","M",1,2.437,16,NA,NA,17,NA,1,0.058823529,0.0625,1,1,NA,2,17,"Mid latitude",0.0556729859151918
"549","RPV 652","Amazon","Rondonia",-8.742,"2","RPV",33,"B","24","M",1,2.484,17,NA,NA,19,NA,1,0.052631579,0.058823529,2,0.5,NA,4,19,"Mid latitude",0.0535217743571313
"550","RPV 653","Amazon","Rondonia",-8.742,"2","RPV",33,"B","24","M",1,2.665,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,3,20,"Mid latitude",0.0544557809787671
"551","RPV 654","Amazon","Rondonia",-8.742,"2","RPV",33,"B","24","F",0,2.434,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,3,20,"Mid latitude",0.0494186663647409
"552","RPV 655","Amazon","Rondonia",-8.742,"2","RPV",33,"B","24","M",1,2.628,15,NA,NA,17,NA,1,0.058823529,0.066666667,2,0.5,NA,3,17,"Mid latitude",0.0644148733748243
"553","RPV 656","Amazon","Rondonia",-8.742,"2","RPV",33,"B","24","F",0,2.555,15,NA,NA,16,NA,1,0.0625,0.066666667,1,1,NA,4,16,"Mid latitude",0.0625368149103779
"554","RPV 657","Amazon","Rondonia",-8.742,"2","RPV",33,"B","24","F",0,2.689,16,NA,NA,18,NA,1,0.055555556,0.0625,2,0.5,NA,3,18,"Mid latitude",0.0618230860804205
"555","RPV 658","Amazon","Rondonia",-8.742,"2","RPV",33,"B","24","M",1,2.84,17,NA,NA,19,NA,1,0.052631579,0.058823529,2,0.5,NA,3,19,"Mid latitude",0.0614002383631244
"557","RPV 660","Amazon","Rondonia",-8.742,"2","RPV",33,"B","24","M",1,2.576,14,NA,NA,15,NA,1,0.066666667,0.071428571,1,1,NA,3,15,"Mid latitude",0.0675884148744362
"558","RPV 661","Amazon","Rondonia",-8.742,"2","RPV",33,"B","24","F",0,2.56,16,NA,NA,18,NA,1,0.055555556,0.0625,2,0.5,NA,3,18,"Mid latitude",0.0587504536557169
"559","RPV 662","Amazon","Rondonia",-8.742,"2","RPV",33,"B","24","F",0,2.557,17,NA,NA,19,NA,1,0.052631579,0.058823529,2,0.5,NA,4,19,"Mid latitude",0.0552255703711206
"560","RPV 663","Amazon","Rondonia",-8.742,"2","RPV",33,"B","24","F",0,2.534,17,NA,NA,19,NA,1,0.052631579,0.058823529,2,0.5,NA,3,19,"Mid latitude",0.0546940636411145
"561","RPV 664","Amazon","Rondonia",-8.742,"2","RPV",33,"B","24","F",0,2.474,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,2,20,"Mid latitude",0.0503242374427942
"562","RPV 665","Amazon","Rondonia",-8.742,"2","RPV",33,"C","28","M",1,2.455,13,NA,NA,14,NA,1,0.071428571,0.076923077,1,1,NA,3,14,"Mid latitude",0.0690866739420372
"563","RPV 666","Amazon","Rondonia",-8.742,"2","RPV",33,"C","28","M",1,2.5,14,NA,NA,15,NA,1,0.066666667,0.071428571,1,1,NA,2,15,"Mid latitude",0.0654493379910111
"565","RPV 668","Amazon","Rondonia",-8.742,"2","RPV",33,"C","28","F",0,2.538,17,NA,NA,18,NA,1,0.055555556,0.058823529,1,1,NA,2,18,"Mid latitude",0.0547868452524821
"566","RPV 669","Amazon","Rondonia",-8.742,"2","RPV",33,"C","28","F",0,2.271,17,NA,NA,18,NA,1,0.055555556,0.058823529,1,1,NA,2,18,"Mid latitude",0.048248250771966
"567","RPV 670","Amazon","Rondonia",-8.742,"2","RPV",33,"C","28","M",1,2.462,14,NA,NA,15,NA,1,0.066666667,0.071428571,1,1,NA,2,15,"Mid latitude",0.0643552876973044
"568","RPV 671","Amazon","Rondonia",-8.742,"2","RPV",33,"C","28","F",0,2.788,16,NA,NA,18,NA,1,0.055555556,0.0625,2,0.5,NA,2,18,"Mid latitude",0.0640827808061423
"569","RPV 672","Amazon","Rondonia",-8.742,"2","RPV",33,"C","28","M",1,2.633,18,NA,NA,19,NA,1,0.052631579,0.055555556,1,1,NA,2,19,"Mid latitude",0.0537846600285651
"572","RPV 675","Amazon","Rondonia",-8.742,"2","RPV",33,"C","28","M",1,2.558,13,NA,NA,15,NA,1,0.066666667,0.076923077,2,0.5,NA,2,15,"Mid latitude",0.0722481310120501
"573","RPV 676","Amazon","Rondonia",-8.742,"2","RPV",33,"C","28","M",1,2.495,16,NA,NA,17,NA,1,0.058823529,0.0625,1,1,NA,2,17,"Mid latitude",0.0571430455752176
"574","RPV 677","Amazon","Rondonia",-8.742,"2","RPV",33,"C","28","M",1,2.42,16,NA,NA,17,NA,1,0.058823529,0.0625,1,1,NA,2,17,"Mid latitude",0.0552354712605372
"576","RPV 679","Amazon","Rondonia",-8.742,"2","RPV",33,"C","28","F",0,2.49,17,NA,NA,19,NA,1,0.052631579,0.058823529,2,0.5,NA,2,19,"Mid latitude",0.0536636888515657
"577","RPV 680","Amazon","Rondonia",-8.742,"2","RPV",42,"A","20","F",0,2.673,18,NA,NA,21,NA,1,0.047619048,0.055555556,3,0.333333333,NA,6,21,"Mid latitude",0.0546223020642657
"578","RPV 681","Amazon","Rondonia",-8.742,"2","RPV",42,"A","20","F",0,2.632,18,NA,NA,21,NA,1,0.047619048,0.055555556,3,0.333333333,NA,5,21,"Mid latitude",0.0537635563035039
