"","ID","Biome","State","Latitude","Lat_group","Locality","Family","Temp_let","Temp_num","Sex","Sex1","Wing.length..mm.","sLL","dLL","dPL","Emtime","Preadult.death","Death_stat","AdRate","LarvRate","Puplen","Puprate","D.pread.rate","AL","time","Lat_grouple","growth"
"47","RPV 141","Amazon","Rondonia",-8.742,"2","RPV",23,"A","20","M",1,2.703,20,NA,NA,23,NA,1,0.043478261,0.05,3,0.333333333,NA,4,23,"Mid latitude",0.0497181133647155
"48","RPV 142","Amazon","Rondonia",-8.742,"2","RPV",23,"A","20","M",1,2.703,21,NA,NA,24,NA,1,0.041666667,0.047619048,3,0.333333333,NA,4,24,"Mid latitude",0.0473505841568719
"49","RPV 143","Amazon","Rondonia",-8.742,"2","RPV",23,"A","20","M",1,2.962,22,NA,NA,25,NA,1,0.04,0.045454545,3,0.333333333,NA,5,25,"Mid latitude",0.0493574870838912
"50","RPV 144","Amazon","Rondonia",-8.742,"2","RPV",23,"A","20","M",1,2.778,22,NA,NA,26,NA,1,0.038461538,0.045454545,4,0.25,NA,3,26,"Mid latitude",0.0464423292878251
"51","RPV 145","Amazon","Rondonia",-8.742,"2","RPV",23,"A","20","M",1,2.785,18,NA,NA,21,NA,1,0.047619048,0.055555556,3,0.333333333,NA,4,21,"Mid latitude",0.0569026596321804
"52","RPV 146","Amazon","Rondonia",-8.742,"2","RPV",23,"A","20","M",1,2.725,19,NA,NA,22,NA,1,0.045454545,0.052631579,3,0.333333333,NA,4,22,"Mid latitude",0.0527614962165899
"53","RPV 147","Amazon","Rondonia",-8.742,"2","RPV",23,"A","20","M",1,3.038,22,NA,NA,25,NA,1,0.04,0.045454545,3,0.333333333,NA,6,25,"Mid latitude",0.0505090638260719
"54","RPV 148","Amazon","Rondonia",-8.742,"2","RPV",23,"A","20","M",1,3.063,23,NA,NA,26,NA,1,0.038461538,0.043478261,3,0.333333333,NA,5,26,"Mid latitude",0.0486693403413321
"56","RPV 150","Amazon","Rondonia",-8.742,"2","RPV",23,"A","20","M",1,2.682,20,NA,NA,23,NA,1,0.043478261,0.05,3,0.333333333,NA,4,23,"Mid latitude",0.0493281392429743
"57","RPV 151","Amazon","Rondonia",-8.742,"2","RPV",23,"A","20","F",0,2.556,21,NA,NA,23,NA,1,0.043478261,0.047619048,2,0.5,NA,5,23,"Mid latitude",0.044687787453109
"58","RPV 152","Amazon","Rondonia",-8.742,"2","RPV",23,"A","20","F",0,2.628,22,NA,NA,24,NA,1,0.041666667,0.045454545,2,0.5,NA,5,24,"Mid latitude",0.0439192318464711
"59","RPV 153","Amazon","Rondonia",-8.742,"2","RPV",23,"A","20","M",1,2.807,23,NA,NA,26,NA,1,0.038461538,0.043478261,3,0.333333333,NA,4,26,"Mid latitude",0.0448746216252063
"60","RPV 154","Amazon","Rondonia",-8.742,"2","RPV",23,"A","20","M",1,2.931,23,NA,NA,26,NA,1,0.038461538,0.043478261,3,0.333333333,NA,4,26,"Mid latitude",0.0467540722490763
"61","RPV 155","Amazon","Rondonia",-8.742,"2","RPV",23,"B","24","M",1,2.592,15,NA,NA,17,NA,1,0.058823529,0.066666667,2,0.5,NA,2,17,"Mid latitude",0.0634953185660019
"62","RPV 156","Amazon","Rondonia",-8.742,"2","RPV",23,"B","24","M",1,2.611,15,NA,NA,17,NA,1,0.058823529,0.066666667,2,0.5,NA,2,17,"Mid latitude",0.0639822193144661
"63","RPV 157","Amazon","Rondonia",-8.742,"2","RPV",23,"B","24","M",1,2.663,16,NA,NA,18,NA,1,0.055555556,0.0625,2,0.5,NA,3,18,"Mid latitude",0.0612158316769872
"65","RPV 159","Amazon","Rondonia",-8.742,"2","RPV",23,"B","24","M",1,2.816,19,NA,NA,21,NA,1,0.047619048,0.052631579,2,0.5,NA,4,21,"Mid latitude",0.0544903914892524
"66","RPV 160","Amazon","Rondonia",-8.742,"2","RPV",23,"B","24","M",1,2.643,15,NA,NA,17,NA,1,0.058823529,0.066666667,2,0.5,NA,2,17,"Mid latitude",0.0647943090414768
"67","RPV 161","Amazon","Rondonia",-8.742,"2","RPV",23,"B","24","F",0,2.688,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,1,20,"Mid latitude",0.054933190147828
"68","RPV 162","Amazon","Rondonia",-8.742,"2","RPV",23,"B","24","F",0,2.618,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,3,20,"Mid latitude",0.0534672593048727
"71","RPV 165","Amazon","Rondonia",-8.742,"2","RPV",23,"B","24","M",1,2.724,16,NA,NA,18,NA,1,0.055555556,0.0625,2,0.5,NA,3,18,"Mid latitude",0.0626313367679541
"72","RPV 166","Amazon","Rondonia",-8.742,"2","RPV",23,"B","24","F",0,2.63,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,2,20,"Mid latitude",0.0537213247883152
"73","RPV 167","Amazon","Rondonia",-8.742,"2","RPV",23,"B","24","M",1,2.736,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,2,20,"Mid latitude",0.0559164999866836
"74","RPV 168","Amazon","Rondonia",-8.742,"2","RPV",23,"B","24","M",1,2.813,20,NA,NA,22,NA,1,0.045454545,0.05,2,0.5,NA,2,22,"Mid latitude",0.051712576475386
"77","RPV 171","Amazon","Rondonia",-8.742,"2","RPV",23,"C","28","M",1,2.629,16,NA,NA,18,NA,1,0.055555556,0.0625,2,0.5,NA,1,18,"Mid latitude",0.060412721609234
"78","RPV 172","Amazon","Rondonia",-8.742,"2","RPV",23,"C","28","M",1,2.591,16,NA,NA,18,NA,1,0.055555556,0.0625,2,0.5,NA,1,18,"Mid latitude",0.0595027438487483
"79","RPV 173","Amazon","Rondonia",-8.742,"2","RPV",23,"C","28","M",1,2.482,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,1,20,"Mid latitude",0.0505035937101342
"80","RPV 174","Amazon","Rondonia",-8.742,"2","RPV",23,"C","28","M",1,2.524,20,NA,NA,22,NA,1,0.045454545,0.05,2,0.5,NA,1,22,"Mid latitude",0.0462922472339483
"82","RPV 176","Amazon","Rondonia",-8.742,"2","RPV",23,"C","28","M",1,2.528,15,NA,NA,17,NA,1,0.058823529,0.066666667,2,0.5,NA,1,17,"Mid latitude",0.0618285650856407
"83","RPV 177","Amazon","Rondonia",-8.742,"2","RPV",23,"C","28","F",0,2.237,19,NA,NA,20,NA,1,0.05,0.052631579,1,1,NA,1,20,"Mid latitude",0.0423755622372628
"86","RPV 180","Amazon","Rondonia",-8.742,"2","RPV",23,"C","28","F",0,2.502,14,NA,NA,16,NA,1,0.0625,0.071428571,2,0.5,NA,2,16,"Mid latitude",0.0655064580031942
"87","RPV 181","Amazon","Rondonia",-8.742,"2","RPV",23,"C","28","M",1,2.602,15,NA,NA,17,NA,1,0.058823529,0.066666667,2,0.5,NA,1,17,"Mid latitude",0.0637520253393542
"88","RPV 182","Amazon","Rondonia",-8.742,"2","RPV",23,"C","28","F",0,2.501,18,NA,NA,20,NA,1,0.05,0.055555556,2,0.5,NA,2,20,"Mid latitude",0.0509272584386379
"89","RPV 183","Amazon","Rondonia",-8.742,"2","RPV",23,"C","28","M",1,2.378,18,NA,NA,19,NA,1,0.052631579,0.055555556,1,1,NA,2,19,"Mid latitude",0.048125544348255
"90","RPV 184","Amazon","Rondonia",-8.742,"2","RPV",23,"C","28","F",0,2.421,19,NA,NA,20,NA,1,0.05,0.052631579,1,1,NA,3,20,"Mid latitude",0.0465358251555748
