"","Code","x1","y1","x2","y2","x3","y3","x4","y4","x5","y5","x6","y6","x7","y7","x8","y8","x9","y9","x10","y10","x11","y11","x12","y12","x13","y13","x14","y14","x15","y15","x16","y16","x17","y17","x18","y18","Biome","State","Latitude","Locality","Family","Temp","Well","Sex","Wing.length..mm."
"11","APR 102",1.538689917,2.185527716,2.201862004,1.927445968,3.152517558,1.858841959,3.234188997,1.920912253,3.270124431,1.989516262,3.266857573,2.074454559,3.194986707,2.188794574,3.054511831,2.326002592,2.793163225,2.479544898,2.417474604,2.655955207,1.613827641,2.479544898,2.009117407,2.384806028,1.982982547,2.306401447,2.178994001,2.299867731,2.152859141,2.211662577,2.120190565,2.12672428,2.326002592,2.038519126,2.574283768,2.290067159,"Amazon","Amazonas",-3.028,"APR",3,"A",1,"F",2.705
"12","APR 105",2.211662577,1.189136157,2.858500376,1.33287789,3.642546194,1.721633941,3.6882822,1.829440241,3.6882822,1.930712826,3.629478764,1.973181974,3.531473037,2.009117407,3.361596443,2.058120271,3.061045546,2.041785983,2.662488922,1.969915117,2.123457423,1.457018478,2.531814619,1.581159065,2.535081477,1.509288199,2.685356925,1.587692781,2.714758643,1.515821914,2.740893504,1.443951047,3.054511831,1.522355629,3.057778688,1.79023795,"Amazon","Amazonas",-3.028,"APR",3,"A",2,"M",2.731
"13","APR 106",2.780095795,1.470085908,3.33872844,1.711833368,4.077038251,2.296600874,4.077038251,2.375005456,4.057437106,2.46321061,3.995366812,2.515480331,3.89082737,2.531814619,3.70134963,2.522014046,3.423666737,2.446876322,3.070846119,2.335803165,2.655955207,1.751035659,3.047978116,1.956847686,3.083913549,1.907844823,3.181919276,1.986249404,3.240722713,1.89804425,3.276658146,1.839240814,3.505338176,1.947047114,3.430200452,2.201862004,"Amazon","Amazonas",-3.028,"APR",3,"A",2,"M",2.712
"14","APR 112",2.103856277,1.917645395,2.740893504,2.015651123,3.609877618,2.401140316,3.645813052,2.499146043,3.662147339,2.564483195,3.616411333,2.620019774,3.508605034,2.675556352,3.306059864,2.714758643,3.041444401,2.711491786,2.636354062,2.688623783,2.035252268,2.208395719,2.424008319,2.286800301,2.430542034,2.22146315,2.55794948,2.276999728,2.577550625,2.185527716,2.593884913,2.123457423,2.936904958,2.201862004,2.969573534,2.456676895,"Amazon","Amazonas",-3.028,"APR",3,"A",3,"M",2.763
"15","APR 116",1.950313971,1.600760211,2.544882049,1.381880753,3.394265018,1.349212178,3.449801597,1.401481899,3.479203315,1.45375162,3.462869027,1.519088771,3.397531876,1.600760211,3.237455855,1.718367083,3.051244973,1.819639668,2.695157498,1.979715689,2.009117407,1.852308244,2.358671168,1.751035659,2.332536307,1.692232223,2.479544898,1.679164793,2.46321061,1.604027068,2.45014318,1.545223632,2.747427219,1.45375162,2.884635237,1.653029932,"Amazon","Amazonas",-3.028,"APR",3,"B",1,"M",2.55
"16","APR 122",1.613827641,1.084596714,2.201862004,0.757910957,3.162318131,0.542298357,3.253790143,0.594568078,3.309326722,0.663172087,3.312593579,0.741576669,3.253790143,0.833048681,3.12311584,0.980057272,2.90750324,1.163001296,2.528547762,1.394948184,1.757569374,1.326344175,2.136524853,1.185869299,2.103856277,1.110731575,2.283533444,1.058461854,2.231263722,0.99639156,2.198595147,0.917986978,2.466477468,0.787312675,2.675556352,1.002925275,"Amazon","Amazonas",-3.028,"APR",3,"B",2,"F",2.66
"17","APR 128",2.620019774,1.287141884,3.299526149,1.437417332,4.103173112,1.852308244,4.139108545,1.937246541,4.13257483,2.00585055,4.086838824,2.084255132,3.965965094,2.129991138,3.760153067,2.162659713,3.502071318,2.149592283,3.077379834,2.087521989,2.531814619,1.594226496,2.933638101,1.698765938,2.966306676,1.639962502,3.090447264,1.69549908,3.113315267,1.617094499,3.142716985,1.541956775,3.440001024,1.613827641,3.44653474,1.89804425,"Amazon","Amazonas",-3.028,"APR",3,"B",3,"M",2.78
"18","APR 130",1.659563647,1.368813323,2.326002592,1.205470444,3.263590716,1.293675599,3.309326722,1.352479035,3.341995297,1.430883617,3.312593579,1.499487626,3.23092214,1.587692781,3.083913549,1.675897935,2.861767234,1.770636805,2.430542034,1.888243677,1.737968229,1.643229359,2.090788847,1.597493353,2.071187701,1.515821914,2.263932298,1.535423059,2.254131725,1.44068419,2.241064295,1.372080181,2.492612328,1.316543602,2.629820346,1.57462535,"Amazon","Amazonas",-3.028,"APR",3,"C",1,"F",2.526
"19","APR 132",1.940513398,1.68243165,2.610219201,1.620361356,3.544540467,1.832707099,3.587009615,1.901311108,3.600077046,1.979715689,3.577209043,2.064653986,3.492270746,2.129991138,3.306059864,2.224730007,3.057778688,2.306401447,2.616752916,2.358671168,1.956847686,1.989516262,2.332536307,1.979715689,2.34233688,1.89804425,2.515480331,1.937246541,2.518747189,1.858841959,2.512213474,1.773903662,2.819298086,1.767369947,2.904236382,2.061387129,"Amazon","Amazonas",-3.028,"APR",3,"C",1,"F",2.619
"20","APR 142",2.237797438,1.564824778,2.835632373,1.760836232,3.590276473,2.273732871,3.603343903,2.352137453,3.596810188,2.420741462,3.551074182,2.479544898,3.426933594,2.502412901,3.23092214,2.492612328,2.985907822,2.453410037,2.623286631,2.348870595,2.110389992,1.809839096,2.459943753,1.950313971,2.489345471,1.88497682,2.636354062,1.969915117,2.669022637,1.914378538,2.718025501,1.852308244,2.953239246,1.940513398,2.927104386,2.178994001,"Amazon","Amazonas",-3.028,"APR",3,"C",3,"M",2.632
