C:/Users/vmc04/Desktop/Wing saga/Lab reared wings for landmarking/18/ARS/ARSFC/coord_Jul27_Format - {Aligned specimens} - 1 20 36 0	from C:/Users/vmc04/Desktop/Lab reared wings for landmarking/18/ARS/ARSFC/coord_Jul27.txt - TPS like internal (simplified) format - can be converted to other format by using TET	
-0.36576261625052853 -0.087940689871602334 -0.089936038537349716 -0.13943051999591788 0.2835050180166005 -0.082784337517948794 0.30657704387909207 -0.050228209098211109 0.31477298328348308 -0.020742169964439082 0.30295158427750829 0.011983680059997554 0.25912172625049307 0.045781766131068651 0.18400080020583451 0.09354572330138404 0.07912770124497516 0.13516950189976787 -0.075603620303260538 0.16911420682477699 -0.36480989513238443 0.04063311469433542 -0.20106883099863118 0.028510777063564172 -0.20313229274801101 -0.0053914221021571195 -0.13353056644961722 0.010047735588481287 -0.13243522765222193 -0.033951844043232621 -0.1301712406304622 -0.066500271546050024 -0.042978183631240389 -0.081981934995976474 0.0093716551757230503 0.034164893572160043 
-0.35808334037665074 -0.085374455061978438 -0.095914314555102673 -0.13047781751774015 0.27700306324221591 -0.084127414297593739 0.29999311485421437 -0.053781199723197309 0.31436990844473578 -0.01721946511804508 0.30466836895487498 0.019253045514856942 0.27435901688947095 0.049857297652198755 0.19285896366590841 0.091204873884988297 0.082537462843779164 0.13042824864426797 -0.080084384159618896 0.16373100344472946 -0.34760768819795346 0.038051245337327351 -0.20998950675308711 0.02606632513706602 -0.21364433980288752 -0.0062256429663399455 -0.14260820955710074 0.0014564179765267874 -0.14646285410612786 -0.029599818622526339 -0.14848233265312197 -0.064163438235411069 -0.015607265726439945 -0.078183335936932261 0.012694336992891731 0.029104129887803403 
-0.3678939401696471 -0.08255997840128694 -0.10469711810174812 -0.12810386854595285 0.28979884711644077 -0.082451180298327639 0.31110163060705043 -0.048252462196264875 0.31583558356492242 -0.01582217355958495 0.30149769734041726 0.01995452993283859 0.25845682869823006 0.049609745578471316 0.18875347465836098 0.088406386074307217 0.092306014954424934 0.12679492845142712 -0.082469298499020488 0.16330621755452698 -0.35284867508992729 0.038917571012256603 -0.20013792785360027 0.028062123781174262 -0.20359316973119063 -0.0037424126930956916 -0.13223021003457591 0.0026511394951026774 -0.1357398654230898 -0.035519745625113661 -0.13982085946309014 -0.066045571019101981 -0.036190851662565797 -0.083485017726614777 -0.0021281609113921987 0.028279768185238887 
-0.36742950379835199 -0.081587930167003483 -0.10285023993625633 -0.12886197393794135 0.2759183714767951 -0.077016664861181167 0.3003745918701905 -0.046468496147537314 0.30909044941503777 -0.015817509482350799 0.30659763460952039 0.017358166165676762 0.2666740333350946 0.048455896524142575 0.19779439534641302 0.090967935136057526 0.092625761485146327 0.12842699807250485 -0.077752433075852362 0.15792540101201211 -0.35636631670621016 0.031881691723154845 -0.20107250768761054 0.023899950678246698 -0.20127814359069546 -0.0075807750188504617 -0.14471709437137739 -0.00020874626362671388 -0.14903955125669166 -0.029856232171141504 -0.15094013711070725 -0.064035408576840813 -0.030655243529717525 -0.078626785409495331 0.03302593352527429 0.031144482724174288 
-0.37439759244946341 -0.090545372182792253 -0.1016550553792375 -0.14372944784545341 0.27469468475438064 -0.08567753743777988 0.29972278042310402 -0.053815347373018178 0.31112057925839853 -0.01539027444229529 0.30556775323204394 0.016666348598658402 0.2651235612587004 0.050024180625210898 0.18157492676625478 0.094449772745827415 0.086492887673476904 0.13571058321917859 -0.071595621491802125 0.17017618589173042 -0.36348438409976008 0.041428205920272007 -0.20092988430161693 0.030320564594376556 -0.20293005736491485 -0.001328246514870071 -0.12407973844017085 0.0075249669237879482 -0.12505090868453927 -0.03204576861157981 -0.12926463376664987 -0.072315468224646795 -0.028609828031601683 -0.085907873099431237 -0.0022994693566017778 0.034454527212823993 
-0.38898212351661043 -0.083532893982836282 -0.10407813642384903 -0.13649050690279618 0.27547831460120109 -0.084738725962789585 0.29725754105850322 -0.049075732463692505 0.30816492327186784 -0.0099458031629054752 0.30418340074436578 0.023132754490257867 0.2676734452589391 0.050876252821295383 0.19639100814768903 0.086566772372301523 0.082214868642870947 0.12690356497184554 -0.074811423368571384 0.16401869725632917 -0.36768194581569352 0.038677366515838828 -0.19399373723435459 0.030413993870386923 -0.19542636188534965 -0.0048650625637305638 -0.121698150506516 0.0077522674573282614 -0.12363734996580522 -0.034041185545762936 -0.12587338671618592 -0.071223903469743194 -0.032471335969598489 -0.083730097964361413 -0.002709550322901007 0.029302242263035634 
-0.37169127850987493 -0.083379067777631141 -0.10611498391580756 -0.1354583860242716 0.27224517198157638 -0.085620885579962919 0.29621588842390389 -0.052404323153691888 0.3124498336549002 -0.016580065657346731 0.30723913585237472 0.022609943548594962 0.2644361637842213 0.055159455671855616 0.19547931169168406 0.093850350234944882 0.09784485233476832 0.12943208891629676 -0.07421609891388041 0.16544070525447699 -0.36100155623290947 0.025022043179896113 -0.20340184110835199 0.030727163287652105 -0.2060958501773158 -0.0028276166277466453 -0.12754789610527451 0.004566244756835129 -0.12704643529361109 -0.031848133718874592 -0.13419777786319959 -0.067168584234745143 -0.043793936568329632 -0.081893454693128906 0.0091972969651259277 0.030372522616847298 
-0.38294945020846771 -0.08940777204443548 -0.10393557549226211 -0.13192643546637658 0.2816860535333045 -0.083681295153365434 0.30104214574860266 -0.051841652739335456 0.3088625009009644 -0.025686395000085512 0.30464538447026235 0.018431894582996555 0.26840310594400107 0.049955322158429113 0.18687210108102675 0.095800607539730506 0.083569922622880849 0.13410381729096457 -0.091361759592757441 0.16259828577748148 -0.35601500980679351 0.036965880539583364 -0.19629734262836054 0.029648091287346159 -0.19650141427804305 -0.0054979583578963027 -0.12676670541214397 0.0081560285944663087 -0.12827107759252801 -0.030816714770268826 -0.12912529950756127 -0.067876111275257694 -0.037173338430822295 -0.079912751478323954 0.013315758648699116 0.030987158514348148 
-0.37382045746793086 -0.077549667076044604 -0.083493637899198364 -0.12719272691837816 0.28152518329027626 -0.07646848994819673 0.30240753075059801 -0.042476901920993376 0.31035188159942345 -0.013569490646792871 0.29822130038195416 0.018017032742566486 0.26342720597336278 0.043092974090491384 0.19562263739329988 0.086195997815554676 0.091414052629230844 0.12189785663378321 -0.066418215301956074 0.15385877651606789 -0.36301102351064357 0.034067446113818081 -0.21588293150849416 0.023967533041267423 -0.22132923222282416 -0.0066354219860406309 -0.13701206303806659 0.0025444541452745773 -0.13960309866921339 -0.027077387026301639 -0.1398746916402088 -0.059733100755405048 -0.01844398538670847 -0.078663038529541776 0.015919544627100688 0.025724153708871256 
-0.37551012155131147 -0.082881012841546975 -0.10747098448751463 -0.13669757224384138 0.27269048316370864 -0.079072222773077488 0.29916642510829006 -0.04604606118162273 0.311397581094362 -0.012709958585759481 0.30033248760641862 0.019564052884255716 0.26811046182254383 0.052952141166259514 0.20090721106789339 0.089062577875410734 0.095705580837299395 0.12743801896829107 -0.072435800718165591 0.1575075657601285 -0.36138246877903646 0.031608320389455526 -0.20167266873026005 0.028656313384381411 -0.20351717983032291 -0.0080437354808111233 -0.12938664781186315 0.0038103588883241979 -0.13252948952267718 -0.032469196693202258 -0.13655016856057606 -0.067029928380311299 -0.050129913962926903 -0.079239368533018384 0.022275213254138566 0.033589707396684133 
