C:/Users/vmc04/Desktop/Wing saga/Lab reared wings for landmarking/18/ARS/ARSFA/coord_Jul27_Format - {Aligned specimens} - 1 20 36 0	from C:/Users/vmc04/Desktop/Lab reared wings for landmarking/18/ARS/ARSFA/coord_Jul27.txt - TPS like internal (simplified) format - can be converted to other format by using TET	
-0.37861215207302773 -0.099322649065189644 -0.082859963505643786 -0.13796946468919116 0.28623421806841859 -0.057196762093533117 0.2978696216302647 -0.032488347667773768 0.30810188361891505 -7.5402615696282065e-05 0.30171362375534205 0.029095492261192516 0.27046870389762617 0.058902804816841327 0.17614096205094376 0.10432879895144331 0.090528560780203438 0.1255255810943085 -0.083947261612819929 0.15033124898341654 -0.3642393968225327 0.016672107682026462 -0.20817059980214622 0.012609515554278434 -0.21001847808049312 -0.012682911468661708 -0.1288071825029489 -0.0026258040774568467 -0.12838038515050568 -0.038045682925888835 -0.13003658245524355 -0.071478407603944263 -0.041077320846156021 -0.079157442177745035 0.02509174904980609 0.033577325041574374 
-0.36868027339506765 -0.099451614749953871 -0.074983180791643747 -0.14173396156320994 0.28539849589039695 -0.070565434417338979 0.30507286410123935 -0.035966971824331763 0.31624384592976457 0.0048484118851088043 0.30517927007938433 0.0350201732122827 0.26425312576339144 0.068555207655957059 0.16791978517545159 0.10044189688655915 0.073872909853395979 0.11760827861841126 -0.069328771964791341 0.16529208319837957 -0.35738515125870635 0.024182104835536768 -0.20994282072840972 0.014149843103515785 -0.20666821926036377 -0.015144542628049299 -0.13480369862814065 -0.0074609742238608166 -0.13586277214906617 -0.040211659348788453 -0.13851263326558344 -0.075412773335226058 -0.044448023613836825 -0.080747964227642396 0.0226752482625848 0.036597896922651502 
-0.36405000128729281 -0.081411717455658325 -0.074508301130950416 -0.13350832130540119 0.26945677701806187 -0.073214592993367855 0.30364614069033874 -0.035416768211000253 0.31414628298652986 -0.0016267609081316054 0.30705017235391974 0.037336690515633736 0.26425536957020662 0.06530304375138174 0.18922631209275717 0.10252029478298472 0.085051293074682566 0.13371421356276272 -0.080986916406100354 0.15956745250376705 -0.35656851594875349 0.0059797430359108273 -0.21618861848607593 0.0071269088739608303 -0.21733103306232071 -0.021382824383919464 -0.13830813976885148 -0.0042323519548326067 -0.13743503957277028 -0.038198825377252235 -0.13610217721349535 -0.076372794463874918 -0.027826492455309448 -0.080152970431711212 0.016472887545424343 0.033969580458748483 
-0.35014504662859697 -0.10675277274410468 -0.079906972864434975 -0.1327138752806731 0.27962952889687959 -0.063975667739798112 0.29695827430076804 -0.036258127010147828 0.30970990308732038 -0.0039016107313174096 0.30441531172841674 0.031156654860551358 0.27070051549481 0.061244434349249616 0.19077413526667619 0.099568584939007693 0.083716565888514616 0.13272926733180676 -0.089011541217992651 0.15858886789945942 -0.35372501503817638 0.018984416694464809 -0.21812352292162435 0.0092264047378691986 -0.21663411980490321 -0.01603682240611776 -0.14484260870891338 -0.0030625903327480375 -0.14399401080540147 -0.041408956817277791 -0.14566158541939644 -0.070153266947714163 -0.035454443608775955 -0.073473605579189749 0.041594632354831351 0.0362386647766808 
-0.36584026578108153 -0.10482956828116996 -0.085701923939431934 -0.12854603851397212 0.28143564951568506 -0.060606853883754593 0.30549099272207925 -0.02627897401113358 0.30906057921190072 -0.00044814687475099805 0.29735648422377631 0.027277593377457578 0.26335896396390102 0.058407740313114812 0.2002134544448419 0.097989189364474955 0.08597976531786089 0.13168427795637144 -0.073501493578113572 0.15803857245663916 -0.36269254014507629 0.013193947077462803 -0.20671649848854351 0.013000839326323345 -0.21039620484928021 -0.01518825571981367 -0.13920768807298878 -0.0090587802082519927 -0.13940505250455149 -0.038592189015638892 -0.13965747687157185 -0.069304731777903042 -0.033700600738998769 -0.077797527833718141 0.013923855569593564 0.031058906248262966 
-0.34630915342950835 -0.10093944479243655 -0.067069091561505145 -0.12829508865243977 0.27414450032711357 -0.065079111067977327 0.30073704967079257 -0.032643873199046991 0.30959189583336649 0.0016464593528656623 0.30522795129163682 0.029739890956505241 0.26711086541204626 0.062102841416600253 0.19691862666606572 0.093568515660103324 0.088365780999667326 0.12590345526424104 -0.086103911976737488 0.15015838838116585 -0.37689516919497446 0.016689629800924678 -0.2160043519254137 0.013727621295998175 -0.21508493743238272 -0.015484469288622361 -0.14344196555883831 -0.0074487393542871597 -0.14480414558064691 -0.035497894405048816 -0.14276607210663494 -0.068154515038367766 -0.029428654646168183 -0.074184702892531901 0.025810783212122445 0.034191036562355469 
-0.3716414385319779 -0.10365987590981333 -0.099329977926392546 -0.13119990793277933 0.2869914374350625 -0.06301699006976319 0.30692990046580565 -0.028815649795932794 0.31258973797253137 0.0039922958314478592 0.29862429494617487 0.035712155169574704 0.26448559117187675 0.062273268997233094 0.19602027412468392 0.095527544261803987 0.077063105778337221 0.12314560444104411 -0.069903333401184542 0.15204753454859951 -0.35368336444068083 0.0174265767964389 -0.20853302712340385 0.011977914585516716 -0.21212621676975615 -0.017792695750836082 -0.13149581027752158 -0.0037803645058774875 -0.13357033227836004 -0.034584298772416901 -0.14129681764545923 -0.070429579690825556 -0.031083710315468364 -0.079878390482965286 0.0099596868157338283 0.031054858279551636 
-0.3688621240601283 -0.10373463593935899 -0.11586348880565758 -0.13529086871644894 0.28321963626011404 -0.064130160749868173 0.30097035576367276 -0.033822298574653492 0.3132468394117589 0.0055432526090376626 0.30256397008824254 0.035154816466119107 0.26769424470013453 0.06045361014340779 0.18710537833893975 0.098310999210538555 0.082644786363563941 0.12792401578580589 -0.084140709767105151 0.16005952868254977 -0.35834289556170312 0.011857483362751135 -0.20225677810887766 0.014476130373821974 -0.20549208210281511 -0.014272588903663813 -0.12627930302355925 -0.00040539636737911767 -0.12797197347409534 -0.038526935103752415 -0.13754435790310079 -0.072136138690215346 -0.028007207294302328 -0.081162261708222327 0.017315709174920441 0.029701448119531976 
-0.3692886363593465 -0.10016134987529321 -0.087566502938524637 -0.12774755902711707 0.2731278228581609 -0.069964779732399673 0.29849697159149124 -0.035757464582817748 0.3123973266405552 -4.5756521426873472e-06 0.30139886223123691 0.033913949623389152 0.26660415835277795 0.064552070414292853 0.19561357175179211 0.096175711740509304 0.082986399950584031 0.12692317446379892 -0.085638232394081373 0.15613487238677182 -0.36522949476416655 0.006980257462803968 -0.2085341763979392 0.014407436054210214 -0.21248397606073338 -0.014901703361137782 -0.13641367432461535 0.00079587087919646981 -0.13536576530156669 -0.039566403911662489 -0.13693867456575656 -0.070493314576616409 -0.010854141507336589 -0.078402722882981599 0.017688161237469972 0.03711653057719539 
-0.3666867632931668 -0.099021973949813491 -0.10202552713180206 -0.1238290639927483 0.2893587354929269 -0.059147542994755171 0.30859057607321444 -0.033686821163321938 0.31343686729187314 -0.0044751505110945363 0.30633292960734776 0.026719093821493244 0.26338439263782853 0.055673953961888303 0.17749949354790601 0.097209463776130836 0.060867009478922741 0.12610953709550402 -0.10067832296626608 0.14745292595226692 -0.36809979044844354 0.015817785280504031 -0.20081484807754213 0.012623069455280482 -0.20367247819128242 -0.012825477527036779 -0.13884866906766158 -0.00038597729842000954 -0.13660928487546892 -0.036230576583413873 -0.13503684600128754 -0.067871480269528633 -0.0082407704432281639 -0.076628132027886112 0.041243296366129729 0.032496366974950772 
