C:/Users/vmc04/Desktop/Wing saga/Lab reared wings for landmarking/18/APR/APRMC/coord_Jul26_Format - {Aligned specimens} - 1 23 36 0	from C:/Users/vmc04/Desktop/Lab reared wings for landmarking/18/APR/APRMC/coord_Jul26.txt - TPS like internal (simplified) format - can be converted to other format by using TET	
-0.36812247357156258 -0.088589419966267194 -0.095862475567961888 -0.12671326322879736 0.26262119750166246 -0.08360694878832875 0.30573303503467442 -0.042991869936829213 0.31772264809916856 -0.011055216717436249 0.31119246921180965 0.018081646756509046 0.26587767827340636 0.054384249006398454 0.18676503532268299 0.086871023461260841 0.072799778761530529 0.12129644380610921 -0.086270667883263499 0.15518649179584548 -0.37442830272380206 0.03991691500153581 -0.20433756595950683 0.020537213425978029 -0.20283287065940203 -0.0071416698524491987 -0.13612904248269636 0.0021108516832985267 -0.13681131747586844 -0.033106256976009954 -0.13854835406714983 -0.062568891950305294 -0.014780454734780383 -0.072595884456641738 0.035411682921059728 0.02998458693612981 
-0.3686683245989214 -0.082127454891958093 -0.10227584739573777 -0.12054377810252181 0.28441334526322992 -0.067275490125901422 0.30431436805854895 -0.039703398364617275 0.31484036669704274 -0.012165066400801297 0.30847781793426537 0.019062507590301613 0.26523567284831584 0.051407296265605897 0.18823893949146908 0.084880552890934241 0.086873895286371947 0.11639102921148009 -0.071982294467924035 0.14519443899906745 -0.37096870287838651 0.035991097524537323 -0.21029602527500402 0.023444481568273036 -0.21143574649085095 -0.0071850986503495693 -0.13895131425022653 -0.0025490116100766892 -0.13697728067962142 -0.030042330510601688 -0.12998297834689554 -0.063142658679904887 -0.023067191202133911 -0.074007825976955946 0.012211300006458342 0.02237070926348865 
-0.38540802955722381 -0.085947945701803335 -0.10892644717605053 -0.11870175499132658 0.28542537895714998 -0.061756202421760296 0.30316401405256743 -0.036189200525504547 0.30929627840466689 -0.012103445855793189 0.29853416899758223 0.015867740367494974 0.25771139209719635 0.047194799865146006 0.19089948263243822 0.081534277733298216 0.095547490783050595 0.112950599030489 -0.076859547694250893 0.14963675753198888 -0.3795193722741611 0.032470022140995265 -0.2065721894823607 0.026492103058392773 -0.21027151766058547 -0.007640099363837265 -0.12655464840135813 -0.0019904756325518375 -0.12458318077772731 -0.032090481007980398 -0.12668324808302542 -0.06184703147954735 -0.018351065874872702 -0.07549596583447836 0.023151041056964233 0.027616303086777746 
-0.3918166616371882 -0.080652129340140016 -0.079326591669544116 -0.11749473878490149 0.27777093804117214 -0.067092530901266587 0.30087705306570656 -0.037929590600284183 0.3118545198802159 -0.009589993985893731 0.30744438197695234 0.018421764919572797 0.25831603078618909 0.050565239915129866 0.18864292859360443 0.079163837761201658 0.083532976659094135 0.10714867725661177 -0.069512228003477214 0.14442237912616074 -0.38243646630011224 0.029287131169494669 -0.19605468817928162 0.018287167869290754 -0.19816246329151302 -0.0087335790808392832 -0.14073626168194728 0.00054028563617003792 -0.14189494190602817 -0.024624188604845193 -0.1487481914590118 -0.060926299100549246 -0.015954318327958909 -0.069113395974923053 0.036203983453129834 0.028319962720011475 
-0.36481075510725153 -0.078608906694099687 -0.088683030894295647 -0.12119291088372462 0.2820479249756539 -0.072511471776972203 0.30996427084607631 -0.039981555961875928 0.31974673821084326 -0.0088357111301820383 0.31524951463611095 0.01728622048814531 0.26557376694846097 0.049616109885442079 0.18931473064801632 0.083493401876558154 0.073889130081122509 0.11509657521742113 -0.089152444859359914 0.14735710348525244 -0.35473429084373298 0.03302783895080489 -0.20442500424893012 0.022326686082401761 -0.20551104984828242 -0.010301228698944878 -0.14552614515723139 0.00035696741428059331 -0.14636517909830818 -0.030821543739496752 -0.14405839412597118 -0.061044674582256014 -0.047903731389859504 -0.074448636773296384 0.035383949226940208 0.029185736840543708 
-0.36899046386560502 -0.077509215012265389 -0.10753192502960174 -0.11623785176153152 0.27412234636563931 -0.073775765811722918 0.30743536109857689 -0.035838968327945149 0.31857562178642829 -0.0080398820121731288 0.31059288146280767 0.020269846051315172 0.25985276021892323 0.050495639799465281 0.19161523308464865 0.079971886640175849 0.093606352023180198 0.11300852826221687 -0.080346423385286705 0.14375906121076612 -0.36590787940372105 0.02550295271865257 -0.21688714051037511 0.017983925261795482 -0.21630156286031213 -0.009796427078389942 -0.13730791547969926 0.0031380345108237609 -0.13617422813074667 -0.028970993493718376 -0.13829173102395839 -0.058559644187948998 -0.016685938004871493 -0.069550033071106909 0.028624651653973522 0.024148906301591479 
-0.37532347087662055 -0.08984834892076575 -0.098423293126289488 -0.13207296671557281 0.28716679244359694 -0.073175319744930079 0.31074514062996988 -0.048791396080508261 0.31663396790103659 -0.019422846332713899 0.30911887235236424 0.016586832419074105 0.25799549411509387 0.051996108892702529 0.17473768882182356 0.0902547710626736 0.068326999063466731 0.12596784644583683 -0.083416867370739251 0.1668174473671393 -0.35231529032539133 0.039236487836269728 -0.19613392634085081 0.027687045596131468 -0.19898331203719366 -0.0044473814598678645 -0.1395471845537998 -0.00019201800731669525 -0.13797419002131597 -0.033572601584159083 -0.14220651437176129 -0.067226749427520396 -0.016366292389339159 -0.083115063508347631 0.015965386085951234 0.033318152161875496 
-0.3749837687775871 -0.086261055154807212 -0.096807048262738643 -0.12467151210060602 0.27549529014759733 -0.071878909569970117 0.30086277643529985 -0.042236828067387447 0.31378884841955296 -0.014269304992786709 0.30936742967631137 0.017473193188631404 0.26480149594328145 0.051859565159638923 0.19730632675382678 0.089418655696759525 0.089461019616272355 0.1222919051023767 -0.087583239807179428 0.15002388036414768 -0.35333280825978014 0.036317093589113253 -0.20634187625553424 0.01929317477285954 -0.2097202177799587 -0.010965775604657779 -0.14112352203476566 -0.00024275673188145158 -0.14147596852143846 -0.030839541261841297 -0.14263629450712714 -0.06318429598396369 -0.022540583690204303 -0.074141812390483619 0.025462140904171558 0.032014323984858609 
-0.37155190994704795 -0.084222633329238739 -0.091474189446961271 -0.12859463761017981 0.27832205938328258 -0.077987783903286229 0.303309980394731 -0.04591428441926431 0.31181933148794005 -0.015425933483751495 0.30447093289502503 0.020854651551158915 0.26564087099521261 0.053840775442628434 0.19877675503335696 0.089186016216136435 0.084697390124903335 0.12850450647518213 -0.070088989407204053 0.16084709028058181 -0.36359091894847678 0.028037746965355711 -0.20669375062717715 0.020778264162836357 -0.20757739097963399 -0.007379953945629532 -0.13391323651950146 0.0027662496050338378 -0.13406638462091552 -0.034368991727342403 -0.13667382959579971 -0.065353998848547534 -0.030315355419530149 -0.072818333661426718 -0.0010913648022022769 0.027251250229753436 
-0.39282955518896251 -0.086974074968549933 -0.083385584732566159 -0.12547336956562924 0.28249759399254365 -0.067978099974743952 0.30314902035071983 -0.035467028380911349 0.30840922223660083 -0.011708211672039117 0.30231951672669344 0.0207727707581634 0.2637488287865834 0.047164047678458644 0.19199272998372879 0.080643853698696505 0.081920812160697909 0.11829477052389026 -0.064768391196896632 0.14870199389402688 -0.37220349945745135 0.036181091436476423 -0.19925281290801103 0.023503157592564453 -0.20396846925342949 -0.0075341602719596612 -0.13371621334351325 0.0016629355886437738 -0.1331415786394208 -0.032356697435091862 -0.13372093188047804 -0.062240027354466355 -0.034324582184323993 -0.077605881200096274 0.017273894547486551 0.030412929652568844 
