Code	Biome	State	Latitude	Locality	Family	Temp	Well	Sex
APR 504	Amazon	Amazonas	-3.028	APR	36	A	1	F
APR 506	Amazon	Amazonas	-3.028	APR	36	A	1	M
APR 509	Amazon	Amazonas	-3.028	APR	36	A	2	F
APR 515	Amazon	Amazonas	-3.028	APR	36	A	3	M
APR 523	Amazon	Amazonas	-3.028	APR	36	B	1	M
APR 527	Amazon	Amazonas	-3.028	APR	36	B	2	M
APR 531	Amazon	Amazonas	-3.028	APR	36	B	3	F
APR 534	Amazon	Amazonas	-3.028	APR	36	C	1	M
APR 542	Amazon	Amazonas	-3.028	APR	36	C	2	M
APR 544	Amazon	Amazonas	-3.028	APR	36	C	3	M
APR 546	Amazon	Amazonas	-3.028	APR	36	C	3	M
APR 562	Amazon	Amazonas	-3.028	APR	38	A	3	F
APR 567	Amazon	Amazonas	-3.028	APR	38	B	1	F
APR 569	Amazon	Amazonas	-3.028	APR	38	B	2	F
APR 571	Amazon	Amazonas	-3.028	APR	38	B	2	M
APR 573	Amazon	Amazonas	-3.028	APR	38	B	2	F
APR 575	Amazon	Amazonas	-3.028	APR	38	B	3	M
APR 585	Amazon	Amazonas	-3.028	APR	38	C	2	F
APR 589	Amazon	Amazonas	-3.028	APR	38	C	3	M
APR 591	Amazon	Amazonas	-3.028	APR	38	C	3	F
APR 593	Amazon	Amazonas	-3.028	APR	38	C	3	F
APR 605	Amazon	Amazonas	-3.028	APR	40	A	3	F
APR 606	Amazon	Amazonas	-3.028	APR	40	A	3	M
APR 624	Amazon	Amazonas	-3.028	APR	40	C	1	F
APR 627	Amazon	Amazonas	-3.028	APR	40	C	1	M
APR 631	Amazon	Amazonas	-3.028	APR	40	C	2	M
APR 639	Amazon	Amazonas	-3.028	APR	44	A	1	F
APR 641	Amazon	Amazonas	-3.028	APR	44	A	1	F
APR 643	Amazon	Amazonas	-3.028	APR	44	A	1	F
APR 657	Amazon	Amazonas	-3.028	APR	44	B	1	F
APR 664	Amazon	Amazonas	-3.028	APR	44	C	1	M
APR 670	Amazon	Amazonas	-3.028	APR	44	C	2	F
APR 675	Amazon	Amazonas	-3.028	APR	6	A	1	F
APR 677	Amazon	Amazonas	-3.028	APR	6	A	1	F
APR 677	Amazon	Amazonas	-3.028	APR	6	A	1	F
APR 678	Amazon	Amazonas	-3.028	APR	6	A	1	F
APR 702	Amazon	Amazonas	-3.028	APR	6	B	3	M
APR 709	Amazon	Amazonas	-3.028	APR	6	C	2	F
APR 712	Amazon	Amazonas	-3.028	APR	6	C	2	M
APR 714	Amazon	Amazonas	-3.028	APR	6	C	3	F
ARS 023	Amazon	Amazonas	-2.864	ARS	14	A	1	M
ARS 024	Amazon	Amazonas	-2.864	ARS	14	A	1	F
ARS 029	Amazon	Amazonas	-2.864	ARS	14	A	2	F
ARS 032	Amazon	Amazonas	-2.864	ARS	14	A	3	M
ARS 036	Amazon	Amazonas	-2.864	ARS	14	B	1	M
ARS 037	Amazon	Amazonas	-2.864	ARS	14	B	1	F
ARS 038	Amazon	Amazonas	-2.864	ARS	14	B	1	M
ARS 039	Amazon	Amazonas	-2.864	ARS	14	B	1	F
ARS 040	Amazon	Amazonas	-2.864	ARS	14	B	1	M
ARS 042	Amazon	Amazonas	-2.864	ARS	14	B	2	M
ARS 045	Amazon	Amazonas	-2.864	ARS	14	B	2	M
ARS 048	Amazon	Amazonas	-2.864	ARS	14	B	3	M
ARS 056	Amazon	Amazonas	-2.864	ARS	14	C	2	M
ARS 057	Amazon	Amazonas	-2.864	ARS	14	C	2	F
ARS 059	Amazon	Amazonas	-2.864	ARS	14	C	2	M
ARS 061	Amazon	Amazonas	-2.864	ARS	14	C	3	M
ARS 074	Amazon	Amazonas	-2.864	ARS	17	A	2	M
ARS 076	Amazon	Amazonas	-2.864	ARS	17	A	3	F
ARS 078	Amazon	Amazonas	-2.864	ARS	17	A	3	M
ARS 082	Amazon	Amazonas	-2.864	ARS	17	B	1	M
ARS 089	Amazon	Amazonas	-2.864	ARS	17	B	2	F
ARS 093	Amazon	Amazonas	-2.864	ARS	17	B	3	F
ARS 100	Amazon	Amazonas	-2.864	ARS	17	C	1	F
ARS 103	Amazon	Amazonas	-2.864	ARS	17	C	2	M
ARS 104	Amazon	Amazonas	-2.864	ARS	17	C	2	M
ARS 108	Amazon	Amazonas	-2.864	ARS	17	C	3	F
ARS 113	Amazon	Amazonas	-2.864	ARS	3	A	1	M
ARS 116	Amazon	Amazonas	-2.864	ARS	3	A	2	F
ARS 118	Amazon	Amazonas	-2.864	ARS	3	A	2	M
ARS 119	Amazon	Amazonas	-2.864	ARS	3	A	2	F
ARS 120	Amazon	Amazonas	-2.864	ARS	3	A	2	M
ARS 124	Amazon	Amazonas	-2.864	ARS	3	A	3	F
ARS 128	Amazon	Amazonas	-2.864	ARS	3	B	1	M
ARS 136	Amazon	Amazonas	-2.864	ARS	3	B	3	M
ARS 139	Amazon	Amazonas	-2.864	ARS	3	B	3	F
ARS 142	Amazon	Amazonas	-2.864	ARS	3	C	1	F
ARS 147	Amazon	Amazonas	-2.864	ARS	3	C	2	M
ARS 156	Amazon	Amazonas	-2.864	ARS	16	A	1	F
ARS 163	Amazon	Amazonas	-2.864	ARS	16	A	2	F
ARS 164	Amazon	Amazonas	-2.864	ARS	16	A	2	M
ARS 165	Amazon	Amazonas	-2.864	ARS	16	A	2	M
ARS 166	Amazon	Amazonas	-2.864	ARS	16	A	3	F
ARS 174	Amazon	Amazonas	-2.864	ARS	16	B	1	F
ARS 178	Amazon	Amazonas	-2.864	ARS	16	B	2	M
ARS 180	Amazon	Amazonas	-2.864	ARS	16	B	2	M
ARS 181	Amazon	Amazonas	-2.864	ARS	16	B	3	M
ARS 182	Amazon	Amazonas	-2.864	ARS	16	B	3	F
ARS 186	Amazon	Amazonas	-2.864	ARS	16	C	1	M
ARS 188	Amazon	Amazonas	-2.864	ARS	16	C	1	F
ARS 196	Amazon	Amazonas	-2.864	ARS	16	C	3	F
