Code	Family	Wing.length..mm.	Sex binary 0=F
ARS 421	6	2.592	1
ARS 422	6	2.576	1
ARS 434	13	2.747	1
ARS 436	13	2.76	1
ARS 438	13	2.63	0
ARS 449	13	2.663	0
ARS 454	13	2.638	0
ARS 456	13	2.397	1
ARS 459	13	2.614	0
ARS 462	13	2.269	0
ARS 470	13	2.4	0
ARS 516	8	2.709	1
ARS 521	8	2.744	1
ARS 523	8	2.703	0
ARS 524	8	2.653	0
ARS 525	8	2.892	0
ARS 531	8	2.64	0
ARS 533	8	2.746	0
ARS 537	8	2.593	0
ARS 545	8	2.708	0
ARS 556	8	2.459	0
ARS 559	8	2.57	0
ARS 560	8	2.346	0
RMO 056	26	2.732	1
RMO 059	26	2.965	0
RMO 062	26	2.656	0
RMO 063	26	3.011	0
RMO 071	26	2.683	1
RMO 080	26	2.486	1
RMO 084	26	2.751	0
RMO 085	26	2.612	1
RMO 093	33	2.834	1
RMO 098	33	2.781	0
RMO 099	33	2.85	0
RMO 101	33	2.709	1
RMO 106	33	2.708	1
RMO 114	33	2.795	1
RMO 118	33	2.496	0
RMO 122	33	2.376	0
RMO 148	39	2.624	0
RMO 171	39	2.548	0
RMO 178	39	2.392	0
RMO 181	41	2.881	0
RMO 187	41	2.896	0
RMO 192	41	2.703	1
RMO 194	41	2.62	1
RMO 197	41	2.566605836	1
RMO 198	41	2.773966318	1
RMO 199	41	2.734925705	1
RMO 205	41	2.623553374	0
RMO 211	41	2.701253257	1
RMO 216	41	2.46947039	1
RMO 217	41	2.557645856	0
RMO 219	41	2.747174379	1
RMO 221	41	2.512826396	1
RMO 226	6	2.969844075	1
RMO 227	6	2.823860601	0
RMO 231	6	2.775397177	0
RMO 233	6	2.800080311	1
RMO 241	6	2.721223355	0
RMO 247	6	2.684588149	0
RMO 258	6	2.61634041	0
RMO 266	6	2.454920607	0
RMO 273	18	2.955	1
RMO 284	18	2.83	0
RMO 286	18	2.753	1
RMO 288	18	2.74	0
RMO 308	18	2.528	0
RMO 311	18	2.504	1
RMO 312	18	2.497	1
RMO 316	24	2.755	1
RMO 322	24	2.916	0
RMO 324	24	2.972	0
RMO 327	24	2.871	1
RMO 328	24	2.866	0
RMO 331	24	2.75	1
RMO 333	24	2.747	1
RMO 335	24	3.038	1
RMO 336	24	2.561	0
RMO 338	24	2.686	1
RMO 341	24	2.781	1
RMO 344	24	2.632	0
RMO 345	24	2.871	1
RMO 348	24	2.473	0
RMO 364	27	2.818	1
RMO 368	27	2.72	1
RMO 369	27	2.627	0
RMO 391	27	2.531	0
RMO 396	27	2.389	0
RMO 403	27	2.591	1
RMO 404	27	2.348	1
RMO 411	28	2.687	1
RMO 413	28	2.734	1
RMO 414	28	2.825	1
RMO 417	28	2.667	0
RMO 423	28	2.426	1
RMO 432	28	2.409	0
RMO 442	28	2.595	1
RMO 449	28	2.546	0
RMO 458	30	2.85	1
RMO 459	30	2.608	0
RMO 472	30	2.615	1
RMO 475	30	2.705	1
RMO 476	30	2.615	1
RMO 491	30	2.591	1
RMO 499	36	2.9	0
RMO 501	36	2.607	1
RMO 503	36	2.576	0
RMO 504	36	2.565	1
RMO 505	36	2.682	0
