"","Code","Biome","State","Latitude","Locality","Family","Temp","Well","Sex","Wing.length..mm."
"77","APR 415","Amazon","Amazonas",-3.028,"APR",18,"A","1","F",2.682
"78","APR 418","Amazon","Amazonas",-3.028,"APR",18,"A","1","M",2.892
"79","APR 419","Amazon","Amazonas",-3.028,"APR",18,"A","2","F",2.65
"80","APR 421","Amazon","Amazonas",-3.028,"APR",18,"A","2","M",2.706
"81","APR 426","Amazon","Amazonas",-3.028,"APR",18,"A","3","M",2.586
"82","APR 433","Amazon","Amazonas",-3.028,"APR",18,"B","1","F",2.659
"83","APR 439","Amazon","Amazonas",-3.028,"APR",18,"B","3","M",2.602
"84","APR 447","Amazon","Amazonas",-3.028,"APR",18,"C","1","F",2.415
"85","APR 450","Amazon","Amazonas",-3.028,"APR",18,"C","2","F",2.4563
"86","APR 452","Amazon","Amazonas",-3.028,"APR",18,"C","2","M",2.648
"87","APR 457","Amazon","Amazonas",-3.028,"APR",18,"C","3","F",2.433
"88","APR 464","Amazon","Amazonas",-3.028,"APR",33,"A","2","M",2.803
"89","APR 472","Amazon","Amazonas",-3.028,"APR",33,"A","3","F",2.72
"90","APR 474","Amazon","Amazonas",-3.028,"APR",33,"B","1","F",2.566
"91","APR 475","Amazon","Amazonas",-3.028,"APR",33,"B","1","M",2.535
"92","APR 477","Amazon","Amazonas",-3.028,"APR",33,"B","1","M",2.604
"93","APR 478","Amazon","Amazonas",-3.028,"APR",33,"B","1","M",2.477
"94","APR 480","Amazon","Amazonas",-3.028,"APR",33,"B","2","M",2.601
"95","APR 483","Amazon","Amazonas",-3.028,"APR",33,"B","2","F",2.68
"96","APR 492","Amazon","Amazonas",-3.028,"APR",33,"C","1","F",2.55
"97","APR 496","Amazon","Amazonas",-3.028,"APR",33,"C","2","M",2.458
"98","APR 500","Amazon","Amazonas",-3.028,"APR",33,"C","3","M",2.384
"99","APR 501","Amazon","Amazonas",-3.028,"APR",33,"C","3","F",2.402
"100","APR 504","Amazon","Amazonas",-3.028,"APR",36,"A","1","F",2.792
"101","APR 506","Amazon","Amazonas",-3.028,"APR",36,"A","1","M",2.719
"102","APR 509","Amazon","Amazonas",-3.028,"APR",36,"A","2","F",2.926
"103","APR 515","Amazon","Amazonas",-3.028,"APR",36,"A","3","M",2.845
"104","APR 523","Amazon","Amazonas",-3.028,"APR",36,"B","1","M",2.526
"105","APR 527","Amazon","Amazonas",-3.028,"APR",36,"B","2","M",2.771
"106","APR 531","Amazon","Amazonas",-3.028,"APR",36,"B","3","F",2.51
"107","APR 534","Amazon","Amazonas",-3.028,"APR",36,"C","1","M",2.592
"108","APR 542","Amazon","Amazonas",-3.028,"APR",36,"C","2","M",2.801
"109","APR 544","Amazon","Amazonas",-3.028,"APR",36,"C","3","M",2.646
"110","APR 546","Amazon","Amazonas",-3.028,"APR",36,"C","3","M",2.46
"111","APR 562","Amazon","Amazonas",-3.028,"APR",38,"A","3","F",2.705
"112","APR 567","Amazon","Amazonas",-3.028,"APR",38,"B","1","F",2.459
"113","APR 569","Amazon","Amazonas",-3.028,"APR",38,"B","2","F",2.397
"114","APR 571","Amazon","Amazonas",-3.028,"APR",38,"B","2","M",2.572
"115","APR 573","Amazon","Amazonas",-3.028,"APR",38,"B","2","F",2.723
"116","APR 575","Amazon","Amazonas",-3.028,"APR",38,"B","3","M",2.529
"117","APR 585","Amazon","Amazonas",-3.028,"APR",38,"C","2","F",2.626
"118","APR 589","Amazon","Amazonas",-3.028,"APR",38,"C","3","M",2.514
"119","APR 591","Amazon","Amazonas",-3.028,"APR",38,"C","3","F",2.426
"120","APR 593","Amazon","Amazonas",-3.028,"APR",38,"C","3","F",2.554
"121","APR 605","Amazon","Amazonas",-3.028,"APR",40,"A","3","F",2.685
"122","APR 606","Amazon","Amazonas",-3.028,"APR",40,"A","3","M",2.827
"123","APR 624","Amazon","Amazonas",-3.028,"APR",40,"C","1","F",2.327
"124","APR 627","Amazon","Amazonas",-3.028,"APR",40,"C","1","M",2.673
"125","APR 631","Amazon","Amazonas",-3.028,"APR",40,"C","2","M",2.506
"126","APR 639","Amazon","Amazonas",-3.028,"APR",44,"A","1","F",2.766
"127","APR 641","Amazon","Amazonas",-3.028,"APR",44,"A","1","F",2.646
"128","APR 643","Amazon","Amazonas",-3.028,"APR",44,"A","1","F",2.979
"129","APR 657","Amazon","Amazonas",-3.028,"APR",44,"B","1","F",2.66
"130","APR 664","Amazon","Amazonas",-3.028,"APR",44,"C","1","M",2.643
"131","APR 670","Amazon","Amazonas",-3.028,"APR",44,"C","2","F",2.547
"132","APR 675","Amazon","Amazonas",-3.028,"APR",6,"A","1","F",2.759
"133","APR 677","Amazon","Amazonas",-3.028,"APR",6,"A","1","F",2.82
"134","APR 677","Amazon","Amazonas",-3.028,"APR",6,"A","1","F",2.82
"135","APR 678","Amazon","Amazonas",-3.028,"APR",6,"A","1","F",2.898
"136","APR 702","Amazon","Amazonas",-3.028,"APR",6,"B","3","M",2.831
"137","APR 709","Amazon","Amazonas",-3.028,"APR",6,"C","2","F",2.319
"138","APR 712","Amazon","Amazonas",-3.028,"APR",6,"C","2","M",2.766
"139","APR 714","Amazon","Amazonas",-3.028,"APR",6,"C","3","F",2.443
"140","ARS 023","Amazon","Amazonas",-2.864,"ARS",14,"A","1","M",2.758
"141","ARS 024","Amazon","Amazonas",-2.864,"ARS",14,"A","1","F",2.671
"142","ARS 029","Amazon","Amazonas",-2.864,"ARS",14,"A","2","F",2.685
"143","ARS 032","Amazon","Amazonas",-2.864,"ARS",14,"A","3","M",2.788
"144","ARS 036","Amazon","Amazonas",-2.864,"ARS",14,"B","1","M",2.648
"145","ARS 037","Amazon","Amazonas",-2.864,"ARS",14,"B","1","F",2.639
"146","ARS 038","Amazon","Amazonas",-2.864,"ARS",14,"B","1","M",2.694
"147","ARS 039","Amazon","Amazonas",-2.864,"ARS",14,"B","1","F",2.713
"148","ARS 040","Amazon","Amazonas",-2.864,"ARS",14,"B","1","M",2.771
"149","ARS 042","Amazon","Amazonas",-2.864,"ARS",14,"B","2","M",2.526
"150","ARS 045","Amazon","Amazonas",-2.864,"ARS",14,"B","2","M",2.705
"151","ARS 048","Amazon","Amazonas",-2.864,"ARS",14,"B","3","M",2.665
"152","ARS 056","Amazon","Amazonas",-2.864,"ARS",14,"C","2","M",2.536
"153","ARS 057","Amazon","Amazonas",-2.864,"ARS",14,"C","2","F",2.356
"154","ARS 059","Amazon","Amazonas",-2.864,"ARS",14,"C","2","M",2.699
"155","ARS 061","Amazon","Amazonas",-2.864,"ARS",14,"C","3","M",2.533
"156","ARS 074","Amazon","Amazonas",-2.864,"ARS",17,"A","2","M",2.651
"157","ARS 076","Amazon","Amazonas",-2.864,"ARS",17,"A","3","F",2.465
