Code,Biome,State,Latitude,Locality,Family,Temp,Well,Sex,Wing.length..mm.,Sex binary 0=F
APR 439,Amazon,Amazonas,-3.028,APR,18,B,3,M,2.602,1
APR 447,Amazon,Amazonas,-3.028,APR,18,C,1,F,2.415,0
APR 450,Amazon,Amazonas,-3.028,APR,18,C,2,F,2.4563,0
APR 452,Amazon,Amazonas,-3.028,APR,18,C,2,M,2.648,1
APR 457,Amazon,Amazonas,-3.028,APR,18,C,3,F,2.433,0
APR 464,Amazon,Amazonas,-3.028,APR,33,A,2,M,2.803,1
APR 472,Amazon,Amazonas,-3.028,APR,33,A,3,F,2.72,0
APR 474,Amazon,Amazonas,-3.028,APR,33,B,1,F,2.566,0
APR 475,Amazon,Amazonas,-3.028,APR,33,B,1,M,2.535,1
APR 477,Amazon,Amazonas,-3.028,APR,33,B,1,M,2.604,1
APR 478,Amazon,Amazonas,-3.028,APR,33,B,1,M,2.477,1
APR 480,Amazon,Amazonas,-3.028,APR,33,B,2,M,2.601,1
APR 483,Amazon,Amazonas,-3.028,APR,33,B,2,F,2.68,0
APR 492,Amazon,Amazonas,-3.028,APR,33,C,1,F,2.55,0
APR 496,Amazon,Amazonas,-3.028,APR,33,C,2,M,2.458,1
APR 500,Amazon,Amazonas,-3.028,APR,33,C,3,M,2.384,1
APR 501,Amazon,Amazonas,-3.028,APR,33,C,3,F,2.402,0
APR 504,Amazon,Amazonas,-3.028,APR,36,A,1,F,2.792,0
APR 506,Amazon,Amazonas,-3.028,APR,36,A,1,M,2.719,1
APR 509,Amazon,Amazonas,-3.028,APR,36,A,2,F,2.926,0
APR 515,Amazon,Amazonas,-3.028,APR,36,A,3,M,2.845,1
APR 523,Amazon,Amazonas,-3.028,APR,36,B,1,M,2.526,1
APR 527,Amazon,Amazonas,-3.028,APR,36,B,2,M,2.771,1
APR 531,Amazon,Amazonas,-3.028,APR,36,B,3,F,2.51,0
APR 534,Amazon,Amazonas,-3.028,APR,36,C,1,M,2.592,1
APR 542,Amazon,Amazonas,-3.028,APR,36,C,2,M,2.801,1
APR 544,Amazon,Amazonas,-3.028,APR,36,C,3,M,2.646,1
APR 546,Amazon,Amazonas,-3.028,APR,36,C,3,M,2.46,1
APR 562,Amazon,Amazonas,-3.028,APR,38,A,3,F,2.705,0
APR 567,Amazon,Amazonas,-3.028,APR,38,B,1,F,2.459,0
APR 569,Amazon,Amazonas,-3.028,APR,38,B,2,F,2.397,0
APR 571,Amazon,Amazonas,-3.028,APR,38,B,2,M,2.572,1
APR 573,Amazon,Amazonas,-3.028,APR,38,B,2,F,2.723,0
APR 575,Amazon,Amazonas,-3.028,APR,38,B,3,M,2.529,1
APR 585,Amazon,Amazonas,-3.028,APR,38,C,2,F,2.626,0
APR 589,Amazon,Amazonas,-3.028,APR,38,C,3,M,2.514,1
APR 591,Amazon,Amazonas,-3.028,APR,38,C,3,F,2.426,0
APR 593,Amazon,Amazonas,-3.028,APR,38,C,3,F,2.554,0
APR 605,Amazon,Amazonas,-3.028,APR,40,A,3,F,2.685,0
APR 606,Amazon,Amazonas,-3.028,APR,40,A,3,M,2.827,1
APR 624,Amazon,Amazonas,-3.028,APR,40,C,1,F,2.327,0
APR 627,Amazon,Amazonas,-3.028,APR,40,C,1,M,2.673,1
APR 631,Amazon,Amazonas,-3.028,APR,40,C,2,M,2.506,1
APR 639,Amazon,Amazonas,-3.028,APR,44,A,1,F,2.766,0
APR 641,Amazon,Amazonas,-3.028,APR,44,A,1,F,2.646,0
APR 643,Amazon,Amazonas,-3.028,APR,44,A,1,F,2.979,0
APR 657,Amazon,Amazonas,-3.028,APR,44,B,1,F,2.66,0
APR 664,Amazon,Amazonas,-3.028,APR,44,C,1,M,2.643,1
APR 670,Amazon,Amazonas,-3.028,APR,44,C,2,F,2.547,0
APR 675,Amazon,Amazonas,-3.028,APR,6,A,1,F,2.759,0
APR 677,Amazon,Amazonas,-3.028,APR,6,A,1,F,2.82,0
APR 677,Amazon,Amazonas,-3.028,APR,6,A,1,F,2.82,0
APR 678,Amazon,Amazonas,-3.028,APR,6,A,1,F,2.898,0
APR 702,Amazon,Amazonas,-3.028,APR,6,B,3,M,2.831,1
APR 709,Amazon,Amazonas,-3.028,APR,6,C,2,F,2.319,0
APR 712,Amazon,Amazonas,-3.028,APR,6,C,2,M,2.766,1
APR 714,Amazon,Amazonas,-3.028,APR,6,C,3,F,2.443,0
ARS 023,Amazon,Amazonas,-2.864,ARS,14,A,1,M,2.758,1
ARS 024,Amazon,Amazonas,-2.864,ARS,14,A,1,F,2.671,0
ARS 029,Amazon,Amazonas,-2.864,ARS,14,A,2,F,2.685,0
ARS 032,Amazon,Amazonas,-2.864,ARS,14,A,3,M,2.788,1
ARS 036,Amazon,Amazonas,-2.864,ARS,14,B,1,M,2.648,1
ARS 037,Amazon,Amazonas,-2.864,ARS,14,B,1,F,2.639,0
ARS 038,Amazon,Amazonas,-2.864,ARS,14,B,1,M,2.694,1
ARS 039,Amazon,Amazonas,-2.864,ARS,14,B,1,F,2.713,0
ARS 040,Amazon,Amazonas,-2.864,ARS,14,B,1,M,2.771,1
ARS 042,Amazon,Amazonas,-2.864,ARS,14,B,2,M,2.526,1
ARS 045,Amazon,Amazonas,-2.864,ARS,14,B,2,M,2.705,1
ARS 048,Amazon,Amazonas,-2.864,ARS,14,B,3,M,2.665,1
ARS 056,Amazon,Amazonas,-2.864,ARS,14,C,2,M,2.536,1
ARS 057,Amazon,Amazonas,-2.864,ARS,14,C,2,F,2.356,0
ARS 059,Amazon,Amazonas,-2.864,ARS,14,C,2,M,2.699,1
ARS 061,Amazon,Amazonas,-2.864,ARS,14,C,3,M,2.533,1
ARS 074,Amazon,Amazonas,-2.864,ARS,17,A,2,M,2.651,1
ARS 076,Amazon,Amazonas,-2.864,ARS,17,A,3,F,2.465,0
ARS 078,Amazon,Amazonas,-2.864,ARS,17,A,3,M,2.82,1
ARS 082,Amazon,Amazonas,-2.864,ARS,17,B,1,M,2.549,1
ARS 089,Amazon,Amazonas,-2.864,ARS,17,B,2,F,2.741,0
ARS 093,Amazon,Amazonas,-2.864,ARS,17,B,3,F,2.389,0
ARS 100,Amazon,Amazonas,-2.864,ARS,17,C,1,F,2.771,0
ARS 103,Amazon,Amazonas,-2.864,ARS,17,C,2,M,2.588,1
ARS 104,Amazon,Amazonas,-2.864,ARS,17,C,2,M,2.861,1
