# Variant positions
# Pop ID	Private	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Amazon Low latitude	353	22.2390	2.8554	0.0340	0.9616	0.0067	0.0016	0.0321	0.0056	0.0015	0.9679	0.0056	0.0015	0.0605	0.0123	0.0022	0.9395	0.0123	0.0022	0.0619	0.0129	0.0023	0.1899	32.2171	0.0340
Amazon Mid latitude	958	24.8362	3.8254	0.0321	0.9534	0.0075	0.0014	0.0378	0.0054	0.0012	0.9622	0.0054	0.0012	0.0738	0.0135	0.0019	0.9262	0.0135	0.0019	0.0753	0.0141	0.0019	0.2327	25.8647	0.0321
Mata atlantica High latitude	264	12.1099	0.9711	0.0162	0.9672	0.0086	0.0015	0.0285	0.0074	0.0014	0.9715	0.0074	0.0014	0.0462	0.0143	0.0020	0.9538	0.0143	0.0020	0.0483	0.0156	0.0021	0.0616	41.5203	0.0162
Cerrado Mid latitude	1145	24.2880	4.1826	0.0339	0.9596	0.0064	0.0013	0.0370	0.0044	0.0011	0.9630	0.0044	0.0011	0.0648	0.0116	0.0018	0.9352	0.0116	0.0018	0.0662	0.0121	0.0018	0.1658	24.8102	0.0339
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant Sites	Polymorphic Sites	% Polymorphic Loci	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Amazon Low latitude	353	390013.0000	2469.0000	936.0000	0.2400	22.2841	2.8285	0.0027	0.9998	0.0001	0.0000	0.0002	0.0000	0.0000	0.9998	0.0000	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0004	0.0001	0.0000	0.0012	48.9004	0.0027
Amazon Mid latitude	958	576222.0000	3723.0000	1891.0000	0.3282	24.9409	3.7188	0.0025	0.9997	0.0001	0.0000	0.0002	0.0000	0.0000	0.9998	0.0000	0.0000	0.0005	0.0001	0.0000	0.9995	0.0001	0.0000	0.0005	0.0001	0.0000	0.0015	48.8615	0.0025
Mata atlantica High latitude	264	571267.0000	3693.0000	622.0000	0.1089	12.1478	0.9355	0.0013	0.9998	0.0001	0.0000	0.0002	0.0001	0.0000	0.9998	0.0001	0.0000	0.0003	0.0001	0.0000	0.9997	0.0001	0.0000	0.0003	0.0001	0.0000	0.0004	48.9526	0.0013
Cerrado Mid latitude	1145	563389.0000	3639.0000	1888.0000	0.3351	24.3781	4.1525	0.0027	0.9997	0.0001	0.0000	0.0002	0.0000	0.0000	0.9998	0.0000	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0004	0.0001	0.0000	0.0011	48.8517	0.0027
