ID,Biome,Latitude,Locality ,State,Lat_grouple,Length.mm,13 CS unscaled,13 CS scaled,18 CS unscaled,18 CS scaled
SJU 001,Mata Atlantica,-22.611,SJU,Rio de Janeiro,High latitude,3.6804,1184.776837,3.870497183,1054.71,3.445587351
SJU 002,Mata Atlantica,-22.611,SJU,Rio de Janeiro,High latitude,3.6146,1169.080901,3.819220796,1027.44,3.356500145
SJU 003,Mata Atlantica,-22.611,SJU,Rio de Janeiro,High latitude,3.4619,1120.780429,3.661430031,993.3,3.244969627
SJU 004,Mata Atlantica,-22.611,SJU,Rio de Janeiro,High latitude,3.3735,1096.814128,3.583135539,961.9,3.1423903
SJU 005,Mata Atlantica,-22.611,SJU,Rio de Janeiro,High latitude,3.4466,1107.340612,3.617524064,954.76,3.119064937
SJU 006,Mata Atlantica,-22.611,SJU,Rio de Janeiro,High latitude,3.4335,1115.484441,3.644128794,984.01,3.214620521
SJU 009,Mata Atlantica,-22.611,SJU,Rio de Janeiro,High latitude,3.5691,1158.735982,3.785425419,1030.65,3.366986758
SJU 010,Mata Atlantica,-22.611,SJU,Rio de Janeiro,High latitude,3.4576,1104.633319,3.608679723,978.87,3.197828873
SJU 011,Mata Atlantica,-22.611,SJU,Rio de Janeiro,High latitude,3.5032,1135.204353,3.708550938,1011.34,3.303903738
SJU 012,Mata Atlantica,-22.611,SJU,Rio de Janeiro,High latitude,3.3777,1096.092921,3.580779461,965.11,3.152876912
SJU 013,Mata Atlantica,-22.611,SJU,Rio de Janeiro,High latitude,3.5775,1156.978027,3.779682428,1013.18,3.309914756
