State,Locality,Weather_station,Month_2016,Temp,Lat,Long,Lat_weather,Long_weather
RO,RPV,UsinaSantoAntonio,10,27.28064516,-8.742,-63.93629,-8.79896,-63.9513
RO,RPV,UsinaSantoAntonio,11,26.60333333,-8.742,-63.93629,-8.79896,-63.9513
RO,RPV,UsinaSantoAntonio,12,26,-8.742,-63.93629,-8.79896,-63.9513
RO,RMO,Calama,1,26.60344828,-9.223,-62.2536,-8.0244,-62.86664
RO,RMO,Calama,2,26.70357143,-9.223,-62.2536,-8.0244,-62.86664
RO,RMO,Calama,3,26.09032258,-9.223,-62.2536,-8.0244,-62.86664
RO,RMO,Calama,4,26.16896552,-9.223,-62.2536,-8.0244,-62.86664
RO,RMO,Calama,5,26.03928571,-9.223,-62.2536,-8.0244,-62.86664
RO,RMO,Calama,6,25.1,-9.223,-62.2536,-8.0244,-62.86664
RO,RMO,Calama,7,25.44666667,-9.223,-62.2536,-8.0244,-62.86664
RO,RMO,Calama,8,26.37666667,-9.223,-62.2536,-8.0244,-62.86664
RO,RMO,Calama,9,26.54666667,-9.223,-62.2536,-8.0244,-62.86664
RO,RMO,Calama,10,27.20322581,-9.223,-62.2536,-8.0244,-62.86664
RO,RMO,Calama,11,26.45333333,-9.223,-62.2536,-8.0244,-62.86664
RO,RMO,Calama,12,25.97241379,-9.223,-62.2536,-8.0244,-62.86664
